Clone,RCB_3Min.Cor,RCB_3Msev.Cor,RCGM_1sev.Cor,RCGM_2sev.Cor,RCMO_1Min.Cor,RCMO_3Min.Cor,RCMO_1Msev.Cor,RCMO_3Msev.Cor,,,"CB_3Min = ""cassava bacterial blight incidence 3-month evaluation|CO_334:0000178"","
IITA-TMS-IBA000070,0.104233377,-0.13573747,0.419896739,0.145682151,-0.204864027,-0.281328475,-0.150586296,-0.134559249,,,"               CB_3Msev = ""cassava bacterial blight severity 3-month evaluation|CO_334:0000175"","
IITA-TMS-IBA30572,0.191414965,0.006282177,-0.159027476,0.154023767,-0.409373994,-0.304807288,-0.410106221,-0.358919326,,,"               CGM_1sev = ""cassava green mite severity first evaluation|CO_334:0000189"","
IITA-TMS-IBA980581,0.03001698,-0.107721636,-0.033391166,0.343643215,-0.027086095,NA,0.022160782,-0.050114165,,,"               CGM_2sev = ""cassava green mite severity second evaluation|CO_334:0000190"","
IITA-TMS-IBA982101,0.201038994,0.018000746,-0.197521769,-0.659844596,-0.042655661,0.00049588,-0.054276356,-0.018718425,,,"               CMO_1Min = ""cassava mosaic disease incidence 1-month evaluation|CO_334:0000195"","
TMEB419,0.206406797,-0.032801993,-0.025367979,0.342667515,-0.356238519,-0.355829354,-0.322176701,-0.323487868,,,"               CMO_3Min = ""cassava mosaic disease incidence 3-month evaluation|CO_334:0000196"","
TMS13F1021P0008,0.240913527,-0.052350264,0.122758645,-0.130315491,-0.128790909,NA,-0.210994589,NA,,,"               CMO_1Msev = ""cassava mosaic disease severity 1-month evaluation|CO_334:0000191"","
TMS13F1049P0001,-0.071556973,-0.248961655,0.010615335,-0.152984778,-0.257748218,-0.239445905,-0.156582808,-0.121220419,,,"               CMO_3Msev = ""cassava mosaic disease severity 3-month evaluation|CO_334:0000192"","
TMS13F1114P0001,0.33982793,-0.086186874,0.187162962,-0.632334094,NA,NA,NA,NA,,,"               HWAM = ""fresh storage root weight per plot|CO_334:0000012"","
TMS13F1126P0003,0.010695814,-0.02156755,0.356295283,NA,-0.228222566,NA,NA,NA,,,"               CWAM = ""fresh shoot weight measurement in kg per plot|CO_334:0000016"")"
TMS13F1182P0002,0.129389034,-0.206484275,0.4600352,-0.647818037,-0.292420783,0.24288782,-0.445052529,0.234447291,,,
TMS13F1304P0003,-0.155410945,-0.288605579,0.542338602,-0.508383499,-0.334728481,NA,-0.334728481,NA,,,
TMS13F1315P0008,0.237659274,0.129622475,-0.155333381,0.494654763,-0.071667272,-0.08561777,-0.148993947,-0.211243664,,,
TMS13F1376P0018,-0.080630584,-0.1841109,0.60619761,-0.642035187,NA,NA,-0.171443885,NA,,,
TMS13F1400P0001,0.365473601,0.183254868,0.201530494,0.496534429,-0.502585697,-0.524753175,-0.50551232,-0.533038731,,,
TMS13F1461P0002,0.269072561,0.018404749,0.27657402,-0.252739446,NA,-0.099049677,-0.028151249,-0.099049677,,,
TMS13F2061P0005,0.215870443,0.13384235,0.328058843,-0.636722813,0.198446606,-0.077661907,0.208058508,-0.025527373,,,
TMS13F2207P0001,0.30401081,0.019715642,0.224498389,-0.319392685,-0.230964522,-0.138968932,-0.267282697,-0.294885297,,,
TMS14F1001P0004,0.264876462,-0.164875237,-0.229748646,-0.441273396,0.017108849,-0.215133452,0.110219125,-0.170954683,,,
TMS14F1013P0007,0.261363437,-0.00065084,0.217801059,-0.39991648,NA,-0.164435602,-0.271669941,-0.266669654,,,
TMS14F1014P0016,0.230654807,0.01400244,0.38200664,NA,-0.325515432,0.019656284,-0.386528155,-0.12010772,,,
TMS14F1014P0017,-0.015684359,-0.027714908,-0.165015488,NA,-0.384723896,NA,-0.384723896,-0.22512115,,,
TMS14F1016P0006,0.171286733,-0.122835767,0.362081584,-0.340359069,0.084226533,0.113941072,0.264898595,-0.012423448,,,
TMS14F1019P0015,0.185528598,-0.112316116,0.137039455,NA,-0.302749518,-0.183814909,0.097606556,0.175375626,,,
TMS14F1022P0003,-0.006226207,0.096431084,0.39864972,-0.53399808,-0.465651124,-0.45927134,-0.403316138,-0.344165053,,,
TMS14F1022P0006,0.411572693,0.219772134,-0.069406262,-0.744073471,0.021289767,-0.073472507,0.021289767,-0.046085277,,,
TMS14F1035P0004,0.033298389,-0.039148082,0.333022019,0.363566803,-0.125151818,-0.23062861,-0.233515734,-0.135561494,,,
TMS14F1035P0007,0.326316228,-0.002284536,0.008432201,-0.480535925,-0.187374013,NA,-0.112132899,NA,,,
TMS14F1036P0007,0.238723877,-0.141385757,0.148532936,-0.517176137,-0.419535767,-0.503560704,-0.444428491,-0.431506143,,,
TMS14F1049P0001,0.167690094,-0.180941128,-0.171702638,-0.20339712,-0.101024508,NA,-0.039724557,NA,,,
TMS14F1098P0013,0.454062319,0.070887137,0.372777516,NA,0.015319194,NA,NA,NA,,,
TMS14F1120P0003,0.138841478,0.014105622,0.108184673,-0.222319059,-0.31680541,0.135850884,-0.364105152,NA,,,
TMS14F1125P0010,0.127700112,-0.043495319,0.436121105,NA,-0.033094116,-0.069650534,-0.162492355,-0.126002924,,,
TMS14F1131P0001,0.237055795,-0.266887705,-0.005825108,-0.827190704,-0.353927082,-0.129181616,-0.104503854,-0.168797768,,,
TMS14F1146P0002,0.194793889,-0.022147298,0.025137781,-0.20354026,NA,NA,NA,NA,,,
TMS14F1159P0003,-0.108551521,-0.147534663,0.271921637,NA,-0.197570236,-0.275441077,-0.081512875,-0.19131692,,,
TMS14F1194P0002,0.412873433,0.114737303,0.060917479,0.343595169,0.225777513,NA,0.225777513,0.014273994,,,
TMS14F1195P0004,0.36163724,0.028938409,0.168386932,-0.309266243,-0.329137866,-0.159820432,-0.268274331,-0.258363721,,,
TMS14F1195P0005,0.294261215,0.00709856,-0.101161239,-0.04848014,NA,NA,-0.124464612,NA,,,
TMS14F1196P0003,0.328849866,0.057794533,0.023453674,NA,NA,NA,NA,NA,,,
TMS14F1208P0007,0.025762065,-0.338364384,0.179128782,0.040639663,NA,NA,NA,-0.077517826,,,
TMS14F1223P0007,0.072039057,-0.027641144,0.021124529,0.109306313,-0.184768155,-0.269837239,-0.214385179,-0.18483298,,,
TMS14F1224P0004,0.168483211,0.089604758,-0.364386637,0.389592429,NA,NA,NA,NA,,,
TMS14F1262P0002,0.23004142,-0.038949902,0.153107863,-0.292852345,-0.037200954,NA,-0.037200954,NA,,,
TMS14F1278P0003,0.117578698,-0.07659775,0.488165383,-0.146632072,-0.151702962,-0.116748884,-0.15120845,0.085319389,,,
TMS14F1285P0006,0.036442053,-0.349618367,0.299070986,NA,NA,-0.080070737,NA,-0.088225001,,,
