Environment,r,rmse,nrmse,d,Total Clones
Abuja19,0.3,2.9,0.12,0.58,67
Ago17,0.28,2.5,0.13,0.51,36
Ago18,-0.08,4.4,0.24,0.24,36
Ago19,0.51,5.1,0.2,0.48,36
Ibadan17,0.27,5.2,0.15,0.51,33
Ibadan18,0.32,7,0.19,0.47,57
Ibadan19,0.13,4.3,0.19,0.43,66
Ikenne17,0.56,2.1,0.09,0.75,67
Ikenne18,0.31,8.5,0.52,0.26,67
Ikenne19,0.6,3.8,0.11,0.69,67
Mokwa17,0.3,9.4,0.25,0.39,63
Mokwa18,0.35,3.8,0.14,0.48,67
Mokwa19,0.18,2.5,0.19,0.45,36
Onne18,0.39,5.1,0.29,0.39,67
Ubiaja19,0.4,5.3,0.3,0.39,67
Umudike18,0.55,4,0.14,0.6,67
