Coefficient,Definition,240 - 1200,251 - 1200,236 - 1200,269 - 490,491 - 1200,240 - 240,285 - 285,235 - 516,231 - 231,308 - 1200,291 - 531,301 - 531
B01ND,Duration from planting to first forking (thermal units),240 - 1200,251 - 1200,236 - 1200,269 - 490,491 - 1200,240 - 240,285 - 285,235 - 516,231 - 231,308 - 1200,291 - 531,301 - 531
B12ND,Duration from first forking to second forking (thermal units),240 - 337,251 - 318,236 - 318,269 - 344,491 - 318,240 - 201,285 - 275,235 - 290,231 - 248,308 - 256,291 - 318,301 - 248
B23ND,Duration from second forking to third forking (thermal units),131 - 251,141 - 251,101 - 286,250 - 250,176 - 250,250 - 250,250 - 250,250 - 250,251 - 251,250 - 250,216 - 250,250 - 250
B34ND,Duration from second forking to third forking (thermal units),250 - 250,120 - 250,100 - 250,250 - 250,200 - 250,250 - 250,250 - 250,250 - 250,250 - 250,250 - 250,250 - 250,250 - 250
BR1FX,Branch number per fork at fork 1 (no.),2.2 - 3.1,2.1 - 3.844,2 - 3,2 - 2.9,2.1 - 2.8,2.9 - 2.9,2.5 - 2.5,2.3 - 2.6,2 - 2,2.2 - 2.6,2.1 - 3,2 - 2.4
BR2FX,Branch number per fork at fork 2 (no.),2 - 4,2 - 3,2 - 3.1,2.3 - 4,2 - 2.7,2.9 - 2.9,3 - 3,2 - 2.8,3 - 3,2.7 - 2.7,2 - 3.2,2 - 3
BR3FX,Branch number per fork at fork 3 (no.),2 - 2.8,1.434 - 3,2 - 3,2 - 2,1 - 2,2 - 2,2 - 2,2 - 2,2 - 2,2 - 2,2 - 3,2 - 2
BR4FX,Branch number per fork at fork 4 (no.),1.5 - 1.5,1.384 - 1.5,1.5 - 1.5,1.5 - 1.5,1.5 - 1.5,1.5 - 1.5,1.5 - 1.5,1.5 - 1.5,1.5 - 1.5,1.5 - 1.5,1.5 - 1.5,1.5 - 1.5
LAXS,Area/leaf at maximum area/leaf, cm2,600 - 900,603 - 920,462 - 900,580 - 801,446 - 650,401 - 401,555 - 555,381 - 835,401 - 401,355 - 500,888 - 900,851 - 900
SLAS,Specific leaf lamina area when crop growing without stress, cm2 g−1,205 - 280,150 - 280,184 - 277,213 - 239,177 - 271,251 - 251,184 - 184,230 - 277,258 - 258,149 - 280,258 - 280,255 - 277
LLIFA,Leaf life, from full expansion to start senescence (thermal units),1000 - 1800,700 - 1800,600 - 1800,1000 - 1000,752 - 1000,600 - 600,601 - 601,600 - 700,600 - 600,601 - 1259,1500 - 1800,1500 - 1800
LPEFR,Leaf-petiole weight fraction (no.),0.21 - 0.34,0.21 - 0.35,0.21 - 0.35,0.25 - 0.35,0.2 - 0.32,0.21 - 0.21,0.23 - 0.23,0.21 - 0.27,0.21 - 0.21,0.25 - 0.29,0.22 - 0.35,0.22 - 0.33
LNSLP,Slope for leaf production (no.),0.7 - 1.09,0.7 - 1.19,0.7 - 0.98,0.7 - 0.77,0.73 - 1.07,0.72 - 0.72,0.83 - 0.83,0.88 - 0.88,0.88 - 0.88,0.71 - 0.84,0.7 - 0.98,0.7 - 1.66
NODWT,Individual node weight (g),1.66 - 5.1,1.75 - 5.54,2.03 - 5.4,3.3 - 4.25,2.35 - 3.57,1.36 - 1.36,3.17 - 3.17,2.96 - 5,3.05 - 3.05,2.7 - 4.82,2.5 - 4.9,2.7 - 4.43
NODLT,Internode length (cm),2.38 - 3.76,1.38 - 3.69,1.03 - 3.78,1.06 - 3.72,1.43 - 3.28,3.06 - 3.06,1.56 - 1.56,3.52 - 3.68,2.6 - 2.6,2.74 - 3.22,1.07 - 3.96,1.92 - 3.71
PARUE,Radiation use efficiency (g dry matter MJ−1),1.40,1.50,1.60,1.70,1.80,1.90,2.00,2.05,2.30,2.60,1.40,1.35
KCAN,Photosynthetically active radiation (PAR) extinction parameter (no.),0.55,0.60,0.65,0.65,0.65,0.65,0.65,0.65,0.75,0.68,0.50,0.50
