Clone,M.R,T.M,R.rmse,T.rmse,T.Cor,R.Cor,R.d,T.d
IITA-TMS-IBA000070,-19.53,-4.74,21.478,5.959,-0.145,-0.011,0.233955151836531,0.377457315566752
IITA-TMS-IBA30572,-19.48,-5.321,20.961,7.118,-0.262,-0.028,0.195810224746018,0.355581848895032
IITA-TMS-IBA980581,-22.528,-2.861,24.064,5.46,-0.159,0.118,0.160248761823824,0.353794504594127
IITA-TMS-IBA982101,-21.145,-2.734,22.137,4.906,0.129,0.403,0.188975130643477,0.397796257952622
TMEB419,-12.978,-4.226,15.18,5.727,0.079,-0.367,0.175706086385784,0.44465463283037
TMS13F1021P0008,-21.554,-3.157,23.375,5.239,-0.087,0.165,0.269605247150134,0.409192787256557
TMS13F1049P0001,-13.127,-4.278,14.588,5.709,-0.174,0.119,0.271710506293062,0.371512849503457
TMS13F1114P0001,-20.925,-4.788,22.883,6.205,-0.098,-0.104,0.210649638146041,0.418552857168776
TMS13F1126P0003,-15.36,-11.313,16.623,12.023,0.341,0.081,0.256670279118432,0.375073852138503
TMS13F1182P0002,-23.14,-0.473,25.222,4.557,0.096,-0.204,0.187656536252529,0.282152573128262
TMS13F1304P0003,-11.69,-0.52,14.937,4.202,0.114,-0.25,0.327375718003184,0.31831045724361
TMS13F1315P0008,-16.393,-5.011,17.98,7.863,-0.413,0.092,0.251510946995456,0.332273806348129
TMS13F1376P0018,-14.411,-0.979,17.691,4.304,0.136,-0.281,0.299263119457092,0.345410620931441
TMS13F1400P0001,-24.476,-4.06,25.88,6.576,-0.471,0.303,0.124257000422664,0.317602064648165
TMS13F1461P0002,-23.415,-2.705,25.064,5.628,-0.206,0.027,0.19550836790096,0.364462753581858
TMS13F2061P0005,-19.207,-4.362,21.063,6.518,-0.277,-0.146,0.222304623042656,0.401724779773687
TMS13F2207P0001,-22.551,-2.452,24.503,4.487,-0.307,0.062,0.226536511585992,0.318228443393902
TMS14F1001P0004,-19.845,-4.11,21.379,5.804,-0.021,0.205,0.280928059482296,0.420602766644249
TMS14F1013P0007,-18.318,-1.661,20.394,5.043,-0.022,-0.157,0.232261443905914,0.326500520954241
TMS14F1014P0016,-16.924,-2.544,19.112,5.965,-0.346,-0.46,0.133040935473437,0.337117059358657
TMS14F1014P0017,-20.065,-5.535,21.41,7.715,0.062,-0.087,0.184950963812939,0.413521340919573
TMS14F1016P0006,-22.727,-4.347,24.879,6.184,-0.409,-0.03,0.237974493472437,0.366176480530325
TMS14F1019P0015,-18.997,-4.375,20.974,5.932,-0.334,-0.15,0.214197922251169,0.367838028311264
TMS14F1022P0003,-6.314,-3.554,9.28,5.623,-0.227,0.007,0.420765483668554,0.401948398605971
TMS14F1022P0006,-23.356,-5.116,25.512,6.771,-0.151,-0.064,0.239470778957118,0.408798067249744
TMS14F1035P0004,-12.77,-10.151,14.963,11.115,-0.63,-0.059,0.312157555515278,0.239842530315637
TMS14F1035P0007,-22.97,-4.052,25.053,5.42,-0.111,-0.127,0.220516040890448,0.39924807814272
TMS14F1036P0007,-18.91,-2.066,20.999,5.052,-0.005,0.147,0.30969958661014,0.395387432434539
TMS14F1049P0001,-25.818,-4.425,27.427,6.177,-0.113,0.014,0.186701564191777,0.396988339765726
TMS14F1098P0013,-22.215,-4.78,24.079,5.944,-0.018,-0.037,0.171998750318391,0.403459034744609
TMS14F1120P0003,-20.029,-4.53,21.367,6.812,0.023,-0.054,0.176345962517445,0.413010206709584
TMS14F1125P0010,-17.156,-5.291,19.218,7.235,-0.324,-0.112,0.260179728751711,0.375860409582085
TMS14F1131P0001,-17.606,-6.783,19.417,8.502,-0.161,0.189,0.298522234696154,0.410980037336802
TMS14F1146P0002,-20.721,-1.688,22.079,4.376,-0.08,0.266,0.254893914529386,0.3309606693099
TMS14F1159P0003,-17.851,-4.01,19.67,5.818,-0.326,-0.183,0.202531506707046,0.40708236571882
TMS14F1194P0002,-18.115,-1.154,19.446,3.793,-0.23,0.039,0.184094087857417,0.308546132580995
TMS14F1195P0004,-10.984,-3.309,12.606,10.313,0.167,0.042,0.291631957347039,0.312880419356105
TMS14F1195P0005,-11.991,-9.637,13.123,10.922,-0.224,0.406,0.39210956071546,0.335380592492449
TMS14F1196P0003,-20.495,-3.561,23.134,6.339,-0.264,-0.499,0.176876235221402,0.366739127342081
TMS14F1208P0007,-18.922,-7.636,20.541,8.956,-0.246,0.101,0.242030880035468,0.389724606362607
TMS14F1223P0007,-16.742,-6.974,18.59,8.115,-0.529,-0.035,0.255224314336124,0.317881136759468
TMS14F1224P0004,-11.753,-12.223,13.767,13.931,-0.646,0.065,0.366245239642731,0.258164300668161
TMS14F1262P0002,-14.445,-6.66,16.615,8.212,-0.373,-0.039,0.238788609113138,0.366348857752059
TMS14F1278P0003,-8.211,-8.063,10.855,9.238,-0.102,-0.093,0.339216875080442,0.386102748485265
TMS14F1285P0006,-18.25,-3.296,19.247,4.87,0.233,0.239,0.245292341860253,0.463220992198996
TMS14F1285P0017,-18.313,-2.956,20.147,4.596,-0.459,-0.025,0.258421859836381,0.34722529047928
TMS14F1287P0008,-21.499,-1.128,24.297,4.05,-0.083,-0.3,0.205219051281184,0.341467600571661
TMS14F1288P0008,-13.095,-2.517,13.911,3.665,-0.366,-0.04,0.226846810582357,0.388886450024093
TMS14F1291P0003,-20.335,-3.138,22.913,4.625,0.006,-0.235,0.261191012453275,0.445501597908964
TMS14F1291P0011,-20.881,-4.055,22.813,5.732,-0.488,-0.269,0.222127794125646,0.384343018709941
TMS14F1291P0012,-19.862,-5.932,21.889,7.527,-0.285,-0.149,0.22625545403222,0.375746532838088
TMS14F1292P0012,-11.588,-3.805,13.115,6.019,-0.167,0.023,0.169574249865579,0.371551947079929
TMS14F1295P0012,-7.729,-2.986,9.829,4.764,-0.085,0.095,0.384598247074659,0.446498307993913
TMS14F1297P0019,-22.336,-0.705,24.673,5.163,-0.343,-0.317,0.159660440887964,0.205952322108108
TMS14F1299P0007,-23.883,-2.744,25.776,5.565,-0.092,0.093,0.214854020233455,0.361403410512031
TMS14F1300P0002,-20.943,-2.056,22.437,4.3,0.007,0.162,0.234344583195663,0.417535584363981
TMS14F1300P0008,-19.357,-3.684,20.919,5.902,-0.114,0.178,0.253630641794636,0.42266085560577
TMS14F1301P0004,-21.528,-0.5,23.363,4.89,0.097,0.168,0.253284938318266,0.2604016146354
TMS14F1301P0013,-20.585,-3.846,22.633,5.302,-0.189,0.058,0.228175357585875,0.346738804619097
TMS14F1303P0012,-22.255,-0.518,24.378,5.278,-0.21,-0.243,0.190117072098912,0.194206917404491
TMS14F1306P0008,-24.282,-3.995,26.342,5.148,-0.149,-0.015,0.189768782059219,0.338452821315515
TMS14F1306P0015,-16.927,-2.617,18.546,4.411,-0.097,0.208,0.317525808109512,0.383224463004408
TMS14F1306P0020,-10.948,0.573,13.269,4.118,-0.27,-0.047,0.317463690459592,0.14537637864467
TMS14F1310P0004,-21.046,-6.658,22.677,8.027,-0.025,0.115,0.265903352349075,0.379980284381213
TMS14F1310P0015,-10.127,-5.982,12.313,8.498,0.085,-0.088,0.333757215466868,0.395572374159441
TMS14F1311P0002,-20.656,-5.474,22.279,6.728,-0.141,0.057,0.23724375905794,0.40634240174769
TMS14F1312P0003,-21.23,-0.683,23.154,5.159,-0.201,-0.128,0.203848181683762,0.233511968686104
