*Soil Carbon Balance Summary

*DSSAT Cropping System Model Ver. 4.8.0.019 -develop  DEC 23, 2021 14:23:35
!                             <----------- Initial State Variables ----------><------------ Final State Variables -----------><------------ Added -----------><-Lost-><-Balance>
!                             <-------- SOM-C -------><-------- FOM-C -------><-------- SOM-C -------><-------- FOM-C -------><---OM---><Senesced><--HarvRes-><--CO2->
!                                     Surf        Soil        Surf        Soil        Surf        Soil        Surf        Soil 
@Run FILEX               TN CR       SC0Di      SOMCTi       LC0Di       LCTDi        SC0D       SOMCT        LC0D        LCTD      OMAC     SENCC      HRCH     CO2TC    CUMBAL
   1 UYAG1701.CSX         1 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
   2 UYAG1701.CSX         2 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
   3 UYAG1701.CSX         3 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
   4 UYAG1701.CSX         4 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
   5 UYAG1701.CSX         5 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
   6 UYAG1701.CSX         6 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
   7 UYAG1701.CSX         7 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
   8 UYAG1701.CSX         8 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
   9 UYAG1701.CSX         9 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  10 UYAG1701.CSX        10 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  11 UYAG1701.CSX        11 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  12 UYAG1701.CSX        12 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  13 UYAG1701.CSX        13 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  14 UYAG1701.CSX        14 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  15 UYAG1701.CSX        15 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  16 UYAG1701.CSX        16 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  17 UYAG1701.CSX        17 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  18 UYAG1701.CSX        18 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
