"Clone","TRNO"
"IITA-TMS-IBA000070",1
"IITA-TMS-IBA30572",2
"IITA-TMS-IBA980581",3
"IITA-TMS-IBA982101",4
"TMEB419",5
"TMS13F1021P0008",6
"TMS13F1114P0001",7
"TMS13F1182P0002",8
"TMS13F1461P0002",9
"TMS13F2061P0005",10
"TMS13F2207P0001",11
"TMS14F1001P0004",12
"TMS14F1016P0006",13
"TMS14F1022P0006",14
"TMS14F1035P0004",15
"TMS14F1035P0007",16
"TMS14F1036P0007",17
"TMS14F1049P0001",18
"TMS14F1120P0003",19
"TMS14F1131P0001",20
"TMS14F1194P0002",21
"TMS14F1195P0005",22
"TMS14F1208P0007",23
"TMS14F1223P0007",24
"TMS14F1224P0004",25
"TMS14F1262P0002",26
"TMS14F1285P0017",27
"TMS14F1291P0011",28
"TMS14F1297P0019",29
"TMS14F1300P0008",30
"TMS14F1303P0012",31
"TMS14F1306P0015",32
"TMS14F1306P0020",33
"TMS14F1310P0004",34
"TMS14F1311P0002",35
"TMS14F1312P0003",36
