"Clone","TRNO"
"IITA-TMS-IBA000070",1
"IITA-TMS-IBA30572",2
"IITA-TMS-IBA980581",3
"IITA-TMS-IBA982101",4
"TMEB419",5
"TMS13F1021P0008",6
"TMS13F1049P0001",7
"TMS13F1114P0001",8
"TMS13F1182P0002",9
"TMS13F1304P0003",10
"TMS13F1315P0008",11
"TMS13F1376P0018",12
"TMS13F1461P0002",13
"TMS13F2061P0005",14
"TMS13F2207P0001",15
"TMS14F1001P0004",16
"TMS14F1013P0007",17
"TMS14F1014P0016",18
"TMS14F1014P0017",19
"TMS14F1016P0006",20
"TMS14F1019P0015",21
"TMS14F1022P0003",22
"TMS14F1022P0006",23
"TMS14F1035P0004",24
"TMS14F1035P0007",25
"TMS14F1036P0007",26
"TMS14F1049P0001",27
"TMS14F1098P0013",28
"TMS14F1120P0003",29
"TMS14F1125P0010",30
"TMS14F1131P0001",31
"TMS14F1146P0002",32
"TMS14F1159P0003",33
"TMS14F1194P0002",34
"TMS14F1195P0005",35
"TMS14F1196P0003",36
"TMS14F1208P0007",37
"TMS14F1223P0007",38
"TMS14F1224P0004",39
"TMS14F1262P0002",40
"TMS14F1278P0003",41
"TMS14F1285P0006",42
"TMS14F1287P0008",43
"TMS14F1291P0003",44
"TMS14F1291P0011",45
"TMS14F1291P0012",46
"TMS14F1292P0012",47
"TMS14F1295P0012",48
"TMS14F1297P0019",49
"TMS14F1299P0007",50
"TMS14F1300P0002",51
"TMS14F1300P0008",52
"TMS14F1301P0004",53
"TMS14F1301P0013",54
"TMS14F1303P0012",55
"TMS14F1306P0015",56
"TMS14F1306P0020",57
"TMS14F1310P0004",58
"TMS14F1310P0015",59
"TMS14F1311P0002",60
"TMS14F1312P0003",61
