"Clone","TRNO"
"IITA-TMS-IBA000070",1
"IITA-TMS-IBA30572",2
"IITA-TMS-IBA980581",3
"IITA-TMS-IBA982101",4
"TMEB419",5
"TMS13F1049P0001",6
"TMS13F1126P0003",7
"TMS13F1304P0003",8
"TMS13F1315P0008",9
"TMS13F1376P0018",10
"TMS13F1400P0001",11
"TMS14F1013P0007",12
"TMS14F1014P0016",13
"TMS14F1014P0017",14
"TMS14F1019P0015",15
"TMS14F1022P0003",16
"TMS14F1098P0013",17
"TMS14F1125P0010",18
"TMS14F1146P0002",19
"TMS14F1159P0003",20
"TMS14F1195P0004",21
"TMS14F1196P0003",22
"TMS14F1278P0003",23
"TMS14F1285P0006",24
"TMS14F1287P0008",25
"TMS14F1288P0008",26
"TMS14F1291P0003",27
"TMS14F1291P0012",28
"TMS14F1292P0012",29
"TMS14F1295P0012",30
"TMS14F1299P0007",31
"TMS14F1300P0002",32
"TMS14F1301P0004",33
"TMS14F1301P0013",34
"TMS14F1306P0008",35
"TMS14F1310P0015",36
