source,Clone,TRNO,EXCODE,HWAMS,HWAMM,LAIXS,LAIXM,CWAMS,CWAMM,HWAMMS,CWAMMS,LAIXMS
1,IITA-TMS-IBA000070,1,UYAB1901CS,31298,12507,4.9,6,14390,4729,-18791,-9661,1.1
1,IITA-TMS-IBA30572,2,UYAB1901CS,28527,6274,4.9,3,15523,5089,-22253,-10434,-1.9
1,IITA-TMS-IBA980581,3,UYAB1901CS,33598,11533,4.9,6,13612,8870,-22065,-4742,1.1
1,IITA-TMS-IBA982101,4,UYAB1901CS,31893,10920,4.8,4,13691,7715,-20973,-5976,-0.8
1,TMEB419,5,UYAB1901CS,26623,8916,5.1,4,14589,4370,-17707,-10219,-1.1
1,TMS13F1021P0008,6,UYAB1901CS,31960,8067,4.9,5,13566,8115,-23893,-5451,0.0999999999999996
1,TMS13F1049P0001,7,UYAB1901CS,24031,10512,3.5,2,13397,6135,-13519,-7262,-1.5
1,TMS13F1114P0001,8,UYAB1901CS,31040,7759,5,5,14695,4427,-23281,-10268,0
1,TMS13F1126P0003,9,UYAB1901CS,23011,5977,5.2,4,19775,2427,-17034,-17348,-1.2
1,TMS13F1182P0002,10,UYAB1901CS,31435,8533,4.7,6,11338,6000,-22902,-5338,1.3
1,TMS13F1304P0003,11,UYAB1901CS,26322,12525,3.4,3,9268,3740,-13797,-5528,-0.4
1,TMS13F1315P0008,12,UYAB1901CS,26658,5640,4.7,2,16786,4323,-21018,-12463,-2.7
1,TMS13F1376P0018,13,UYAB1901CS,26857,13900,3.8,NA,9098,4562,-12957,-4536,NA
1,TMS13F1400P0001,14,UYAB1901CS,30656,7969,4.9,4,14320,4448,-22687,-9872,-0.9
1,TMS13F1461P0002,15,UYAB1901CS,30878,7804,4.9,6,13907,6260,-23074,-7647,1.1
1,TMS13F2061P0005,16,UYAB1901CS,29278,4764,4.9,4,15249,3562,-24514,-11687,-0.9
1,TMS13F2207P0001,17,UYAB1901CS,33173,11313,4.8,6,12723,7052,-21860,-5671,1.2
1,TMS14F1001P0004,18,UYAB1901CS,30738,5800,4.8,4,14080,3698,-24938,-10382,-0.8
1,TMS14F1013P0007,19,UYAB1901CS,29986,11555,4.6,4,11040,6604,-18431,-4436,-0.6
1,TMS14F1014P0016,20,UYAB1901CS,27071,8629,4.4,2,12481,4229,-18442,-8252,-2.4
1,TMS14F1014P0017,21,UYAB1901CS,28550,9921,4.9,2,14976,4490,-18629,-10486,-2.9
1,TMS14F1016P0006,22,UYAB1901CS,32306,8170,4.9,16,13235,3771,-24136,-9464,11.1
1,TMS14F1019P0015,23,UYAB1901CS,29822,9254,4.8,3,12993,3323,-20568,-9670,-1.8
1,TMS14F1022P0003,24,UYAB1901CS,19860,8741,2.5,3,12766,3823,-11119,-8943,0.5
1,TMS14F1022P0006,25,UYAB1901CS,31850,4682,4.8,10,13070,2896,-27168,-10174,5.2
1,TMS14F1035P0004,26,UYAB1901CS,25837,9301,5.1,6,18175,3510,-16536,-14665,0.9
1,TMS14F1035P0007,27,UYAB1901CS,30320,7294,4.8,7,11575,4010,-23026,-7565,2.2
1,TMS14F1036P0007,28,UYAB1901CS,31168,10955,4.9,7,13378,5135,-20213,-8243,2.1
1,TMS14F1049P0001,29,UYAB1901CS,32784,5659,4.8,7,13304,2885,-27125,-10419,2.2
1,TMS14F1098P0013,30,UYAB1901CS,30754,11621,4.9,5,14377,5365,-19133,-9012,0.0999999999999996
1,TMS14F1120P0003,31,UYAB1901CS,27760,9562,5.1,5,16821,9438,-18198,-7383,-0.0999999999999996
1,TMS14F1125P0010,32,UYAB1901CS,28317,8717,5,4,16342,4875,-19600,-11467,-1
1,TMS14F1131P0001,33,UYAB1901CS,28589,8332,5.1,3,15568,3760,-20257,-11808,-2.1
1,TMS14F1146P0002,34,UYAB1901CS,29903,11907,4.7,NA,9871,7125,-17996,-2746,NA
1,TMS14F1159P0003,35,UYAB1901CS,29777,8694,4.9,4,13505,4177,-21083,-9328,-0.9
1,TMS14F1194P0002,36,UYAB1901CS,29384,9571,4.3,NA,9537,3604,-19813,-5933,NA
1,TMS14F1195P0004,37,UYAB1901CS,22525,10319,3.6,2,14109,5656,-12206,-8453,-1.6
1,TMS14F1195P0005,38,UYAB1901CS,21280,7242,5.2,5,20924,4677,-14038,-16247,-0.2
1,TMS14F1196P0003,39,UYAB1901CS,30359,7253,4.7,2,12800,2781,-23106,-10019,-2.7
1,TMS14F1208P0007,40,UYAB1901CS,27538,7058,5.1,7,16283,4469,-20480,-11814,1.9
1,TMS14F1223P0007,41,UYAB1901CS,30190,10890,5,4,14508,3021,-19300,-11487,-1
1,TMS14F1224P0004,42,UYAB1901CS,19940,3236,5.1,2,22411,3240,-16704,-19171,-3.1
1,TMS14F1262P0002,43,UYAB1901CS,25590,10853,4.9,5,17665,3188,-14737,-14477,0.0999999999999996
1,TMS14F1278P0003,44,UYAB1901CS,20569,11563,4.6,3,17761,4010,-9006,-13751,-1.6
1,TMS14F1285P0006,45,UYAB1901CS,28149,8929,4.3,2,11116,4479,-19220,-6637,-2.3
1,TMS14F1285P0017,46,UYAB1901CS,31188,10209,4.8,NA,10160,5635,-20979,-4525,NA
1,TMS14F1287P0008,47,UYAB1901CS,30860,8607,4.7,8,10638,4125,-22253,-6513,3.3
1,TMS14F1288P0008,48,UYAB1901CS,20526,7132,2.1,1,8816,4479,-13394,-4337,-1.1
1,TMS14F1291P0003,49,UYAB1901CS,30393,6426,4.7,NA,9994,3281,-23967,-6713,NA
1,TMS14F1291P0011,50,UYAB1901CS,30881,6336,4.8,NA,10477,1479,-24545,-8998,NA
1,TMS14F1291P0012,51,UYAB1901CS,29629,10386,5,8,15563,4094,-19243,-11469,3
1,TMS14F1292P0012,52,UYAB1901CS,23354,7727,3.8,3,14674,5083,-15627,-9591,-0.8
1,TMS14F1295P0012,53,UYAB1901CS,19492,9976,2.4,2,12070,4531,-9516,-7539,-0.4
1,TMS14F1297P0019,54,UYAB1901CS,31117,7873,4.7,5,11469,5177,-23244,-6292,0.3
1,TMS14F1299P0007,55,UYAB1901CS,30497,6009,4.8,4,13059,3583,-24488,-9476,-0.8
1,TMS14F1300P0002,56,UYAB1901CS,30381,6889,4.8,NA,9967,3094,-23492,-6873,NA
1,TMS14F1300P0008,57,UYAB1901CS,28590,7991,5,5,15846,6917,-20599,-8929,0
1,TMS14F1301P0004,58,UYAB1901CS,31172,9474,4.8,NA,10984,6948,-21698,-4036,NA
1,TMS14F1301P0013,59,UYAB1901CS,29743,14202,4.9,10,14069,6448,-15541,-7621,5.1
1,TMS14F1303P0012,60,UYAB1901CS,30427,8397,4.8,10,11141,3510,-22030,-7631,5.2
1,TMS14F1306P0008,61,UYAB1901CS,32332,14532,4.8,8,13221,6823,-17800,-6398,3.2
1,TMS14F1306P0015,62,UYAB1901CS,29771,6328,4.8,4,12926,6375,-23443,-6551,-0.8
