source,Clone,TRNO,EXCODE,HWAMS,HWAMM,LAIXS,LAIXM,CWAMS,CWAMM,TMIN,TMAX,SRAD,PAR,RH2M,WIND,RAIN,ELEV,LAT,LONG,HWAMMS,HWAMMSsq,year
Abuja19,IITA-TMS-IBA000070,1,UYAB1901CS,11809,12507,5.1,6,9565,4729,20.7470443349754,30.5884236453202,18.6226600985222,37.2453201970443,72.2820197044335,1.55738916256158,1982.8,406.97,9.0738,7.4651,698,487204,2019
Abuja19,IITA-TMS-IBA30572,2,UYAB1901CS,7737,6274,4.5,3,14923,5089,20.7470443349754,30.5884236453202,18.6226600985222,37.2453201970443,72.2820197044335,1.55738916256158,1982.8,406.97,9.0738,7.4651,-1463,2140369,2019
Abuja19,IITA-TMS-IBA980581,3,UYAB1901CS,7552,11533,5.6,6,12809,8870,20.7470443349754,30.5884236453202,18.6226600985222,37.2453201970443,72.2820197044335,1.55738916256158,1982.8,406.97,9.0738,7.4651,3981,15848361,2019
Abuja19,IITA-TMS-IBA982101,4,UYAB1901CS,10113,10920,3.7,4,12042,7715,20.7470443349754,30.5884236453202,18.6226600985222,37.2453201970443,72.2820197044335,1.55738916256158,1982.8,406.97,9.0738,7.4651,807,651249,2019
Abuja19,TMEB419,5,UYAB1901CS,6526,8916,4.9,4,14000,4370,20.7470443349754,30.5884236453202,18.6226600985222,37.2453201970443,72.2820197044335,1.55738916256158,1982.8,406.97,9.0738,7.4651,2390,5712100,2019
Abuja19,TMS13F1021P0008,6,UYAB1901CS,8510,8067,5,5,12362,8115,20.7470443349754,30.5884236453202,18.6226600985222,37.2453201970443,72.2820197044335,1.55738916256158,1982.8,406.97,9.0738,7.4651,-443,196249,2019
Abuja19,TMS13F1049P0001,7,UYAB1901CS,9708,10512,2.4,2,12193,6135,20.7470443349754,30.5884236453202,18.6226600985222,37.2453201970443,72.2820197044335,1.55738916256158,1982.8,406.97,9.0738,7.4651,804,646416,2019
Abuja19,TMS13F1114P0001,8,UYAB1901CS,7093,7759,5.4,5,12368,4427,20.7470443349754,30.5884236453202,18.6226600985222,37.2453201970443,72.2820197044335,1.55738916256158,1982.8,406.97,9.0738,7.4651,666,443556,2019
Abuja19,TMS13F1126P0003,9,UYAB1901CS,8082,5977,4.8,4,11484,2427,20.7470443349754,30.5884236453202,18.6226600985222,37.2453201970443,72.2820197044335,1.55738916256158,1982.8,406.97,9.0738,7.4651,-2105,4431025,2019
Abuja19,TMS13F1182P0002,10,UYAB1901CS,8577,8533,3.8,6,9618,6000,20.7470443349754,30.5884236453202,18.6226600985222,37.2453201970443,72.2820197044335,1.55738916256158,1982.8,406.97,9.0738,7.4651,-44,1936,2019
Abuja19,TMS13F1304P0003,11,UYAB1901CS,13152,12525,2.5,3,8530,3740,20.7470443349754,30.5884236453202,18.6226600985222,37.2453201970443,72.2820197044335,1.55738916256158,1982.8,406.97,9.0738,7.4651,-627,393129,2019
Abuja19,TMS13F1315P0008,12,UYAB1901CS,8512,5640,2.8,2,11984,4323,20.7470443349754,30.5884236453202,18.6226600985222,37.2453201970443,72.2820197044335,1.55738916256158,1982.8,406.97,9.0738,7.4651,-2872,8248384,2019
Abuja19,TMS13F1376P0018,13,UYAB1901CS,19140,13900,2.2,NA,7615,4562,20.7470443349754,30.5884236453202,18.6226600985222,37.2453201970443,72.2820197044335,1.55738916256158,1982.8,406.97,9.0738,7.4651,-5240,27457600,2019
