source,Clone,TRNO,EXCODE,HWAMS,HWAMM,LAIXS,LAIXM,CWAMS,CWAMM
1,IITA-TMS-IBA000070,1,UYAB1901CS,18138,12507,2.6,5,7626,4729
1,IITA-TMS-IBA30572,2,UYAB1901CS,10502,6274,1.2,3,4664,5089
1,IITA-TMS-IBA980581,3,UYAB1901CS,12533,11533,1.4,4,5898,8870
1,IITA-TMS-IBA982101,4,UYAB1901CS,10900,10920,1.2,3,7732,7715
1,TMEB419,5,UYAB1901CS,16490,8916,2.1,3,7027,4370
1,TMS13F1021P0008,6,UYAB1901CS,9472,8067,1.3,4,6681,8115
1,TMS13F1049P0001,7,UYAB1901CS,9151,10512,1.1,1,6257,6135
1,TMS13F1114P0001,8,UYAB1901CS,11186,7759,1.4,4,6155,4427
1,TMS13F1126P0003,9,UYAB1901CS,10502,5977,1.2,3,4664,2427
1,TMS13F1182P0002,10,UYAB1901CS,10650,8533,1.5,5,7744,6000
1,TMS13F1304P0003,11,UYAB1901CS,13295,12525,1.5,2,5463,3740
1,TMS13F1315P0008,12,UYAB1901CS,10502,5640,1.2,2,4664,4323
1,TMS13F1376P0018,13,UYAB1901CS,24142,13900,2.3,NA,11606,4562
1,TMS13F1400P0001,14,UYAB1901CS,11186,7969,1.4,4,6155,4448
1,TMS13F1461P0002,15,UYAB1901CS,11186,7804,1.4,5,6155,6260
1,TMS13F2061P0005,16,UYAB1901CS,11186,4764,1.4,3,6155,3562
1,TMS13F2207P0001,17,UYAB1901CS,18138,11313,2.6,5,7626,7052
1,TMS14F1001P0004,18,UYAB1901CS,13295,5800,1.5,3,5463,3698
1,TMS14F1013P0007,19,UYAB1901CS,10502,11555,1.2,3,4664,6604
1,TMS14F1014P0016,20,UYAB1901CS,11186,8629,1.4,2,6155,4229
1,TMS14F1014P0017,21,UYAB1901CS,11186,9921,1.4,2,6155,4490
1,TMS14F1016P0006,22,UYAB1901CS,13295,8170,1.5,13,5463,3771
1,TMS14F1019P0015,23,UYAB1901CS,10502,9254,1.2,3,4664,3323
1,TMS14F1022P0003,24,UYAB1901CS,10502,8741,1.2,2,4664,3823
1,TMS14F1022P0006,25,UYAB1901CS,10502,4682,1.2,8,4664,2896
1,TMS14F1035P0004,26,UYAB1901CS,13135,9301,1.3,5,4378,3510
1,TMS14F1035P0007,27,UYAB1901CS,13295,7294,1.5,5,5463,4010
1,TMS14F1036P0007,28,UYAB1901CS,18138,10955,2.6,5,7626,5135
1,TMS14F1049P0001,29,UYAB1901CS,10502,5659,1.2,6,4664,2885
1,TMS14F1098P0013,30,UYAB1901CS,10502,11621,1.2,4,4664,5365
1,TMS14F1120P0003,31,UYAB1901CS,7796,9562,1.1,4,7203,9438
1,TMS14F1125P0010,32,UYAB1901CS,11186,8717,1.4,3,6155,4875
1,TMS14F1131P0001,33,UYAB1901CS,8346,8332,0.8,3,4878,3760
1,TMS14F1146P0002,34,UYAB1901CS,16033,11907,1.4,NA,6074,7125
1,TMS14F1159P0003,35,UYAB1901CS,12974,8694,1.4,3,5376,4177
1,TMS14F1194P0002,36,UYAB1901CS,15918,9571,1.4,0,6048,3604
1,TMS14F1195P0004,37,UYAB1901CS,7761,10319,0.8,2,3773,5656
1,TMS14F1195P0005,38,UYAB1901CS,10278,7242,1.2,4,5289,4677
1,TMS14F1196P0003,39,UYAB1901CS,7761,7253,0.8,2,3773,2781
1,TMS14F1208P0007,40,UYAB1901CS,7761,7058,0.8,6,3773,4469
1,TMS14F1223P0007,41,UYAB1901CS,7761,10890,0.8,3,3773,3021
1,TMS14F1224P0004,42,UYAB1901CS,7761,3236,0.8,2,3773,3240
1,TMS14F1262P0002,43,UYAB1901CS,7761,10853,0.8,4,3773,3188
1,TMS14F1278P0003,44,UYAB1901CS,7761,11563,0.8,2,3773,4010
1,TMS14F1285P0006,45,UYAB1901CS,12974,8929,1.4,2,5376,4479
1,TMS14F1285P0017,46,UYAB1901CS,15419,10209,1.4,NA,5943,5635
1,TMS14F1287P0008,47,UYAB1901CS,14165,8607,1.9,7,7077,4125
1,TMS14F1288P0008,48,UYAB1901CS,10660,7132,0.8,1,6525,4479
1,TMS14F1291P0003,49,UYAB1901CS,16033,6426,1.4,0,6074,3281
1,TMS14F1291P0011,50,UYAB1901CS,15549,6336,1.4,0,5967,1479
1,TMS14F1291P0012,51,UYAB1901CS,6402,10386,0.7,6,4544,4094
1,TMS14F1292P0012,52,UYAB1901CS,14453,7727,1.7,3,6080,5083
1,TMS14F1295P0012,53,UYAB1901CS,8649,9976,0.9,1,4784,4531
1,TMS14F1297P0019,54,UYAB1901CS,11060,7873,1.4,4,6109,5177
1,TMS14F1299P0007,55,UYAB1901CS,11060,6009,1.4,4,6109,3583
1,TMS14F1300P0002,56,UYAB1901CS,15792,6889,1.4,0,6023,3094
1,TMS14F1300P0008,57,UYAB1901CS,0,7991,0.6,4,8986,6917
1,TMS14F1301P0004,58,UYAB1901CS,16312,9474,1.4,0,6130,6948
1,TMS14F1301P0013,59,UYAB1901CS,13527,14202,1.5,8,5286,6448
1,TMS14F1303P0012,60,UYAB1901CS,10648,8397,1,8,4452,3510
1,TMS14F1306P0008,61,UYAB1901CS,9311,14532,1,7,4883,6823
1,TMS14F1306P0015,62,UYAB1901CS,17158,6328,2.3,3,7016,6375
1,TMS14F1306P0020,63,UYAB1901CS,9418,10362,0.9,3,5220,6708
1,TMS14F1310P0004,64,UYAB1901CS,9311,6618,1,5,4883,3948
