"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","plantedSeedlotStockDbId","plantedSeedlotStockUniquename","plantedSeedlotCurrentCount","plantedSeedlotCurrentWeightGram","plantedSeedlotBoxName","plantedSeedlotTransactionCount","plantedSeedlotTransactionWeight","plantedSeedlotTransactionDescription","availableGermplasmSeedlotUniquenames","L chromometer value|CO_334:0002065","a chromometer value|CO_334:0002066","apical pubescence visual rating 0-2|CO_334:0000309","b chromometer value|CO_334:0002064","branching level counting|CO_334:0000079","cassava bacterial blight incidence 3-month evaluation|CO_334:0000178","cassava bacterial blight severity 3-month evaluation|CO_334:0000175","cassava green mite severity first evaluation|CO_334:0000189","cassava mosaic disease incidence 3-month evaluation|CO_334:0000196","cassava mosaic disease severity 3-month evaluation|CO_334:0000192","central leaf shape visual rating 1-10|CO_334:0000119","dry matter content percentage|CO_334:0000092","dry yield|CO_334:0000014","ease of peeling root cortex visual rating 1-3|CO_334:0000308","first apical branch height measurement in cm|CO_334:0000106","first fully expanded leaf color visual rating 1-9|CO_334:0000102","fresh root yield|CO_334:0000013","fresh shoot weight measurement in kg per plot|CO_334:0000016","fresh storage root weight per plot|CO_334:0000012","fufu dry weight in kg|CO_334:0002019","fufu fibre weight in g|CO_334:0002016","fufu initial weight in kg|CO_334:0002013","fufu peel weight in kg|CO_334:0002014","fufu peeled root weight in kg|CO_334:0002015","fufu pressed weight in kg|CO_334:0002018","gari chaff coarse weight in g|CO_334:0002027","gari chaff medium weight in g|CO_334:0002028","gari fried weight in kg|CO_334:0002026","gari initial weight in kg|CO_334:0002020","gari mash weight in kg|CO_334:0002023","gari peel weight in kg|CO_334:0002021","gari peeled root weight in kg|CO_334:0002022","gari pressed weight in kg|CO_334:0002024","gari pulverised weight in kg|CO_334:0002025","harvest index variable|CO_334:0000015","petiole color visual rating 1-9|CO_334:0000023","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant stands harvested counting|CO_334:0000010","root neck length visual rating 0-7|CO_334:0000022","root number per plot counting|CO_334:0000011","rotted storage root counting|CO_334:0000084","sprout count at three-month|CO_334:0000214","sprouting proportion|CO_334:0000008","starch content percentage|CO_334:0000071","staygreen visual scale 1-9|CO_334:0000224","storage root cortex color visual rating 1-4|CO_334:0000115","storage root periderm color visual rating 1-4|CO_334:0000064","storage root pulp color visual rating 1-3|CO_334:0000021","storage root shape visual rating 1-6|CO_334:0000020","storage root size visual rating 1-7|CO_334:0000019","total carotenoid by chart 1-8|CO_334:0000161","unexpanded apical leaf color visual rating 1-9|CO_334:0000101","notes"
"2020","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","7188","20.GS.C2.UYT.36.setA.IB","Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ibadan for 2020-21 breeding season","RCBD","4","4","0.064","no","no","2020-May-15","2021-May-15","3","Ibadan","1936","IITA-TMS-IBA000070","00/0070,I000070,IBA000070,IITA-IITA-TMS-IBA000070,IITA-TMS-000070,TMS 00/0070,TMS-70,TMS-I000070,TMS-IBA000070","plot","2168937","2021-20.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA000070_119","1","2","119","1","4","check","","","","","","","","","","","88.8","-1.0","0","18.2","4","1.0","2","4","0.0","1","5","38.9","11.9","1","59.0","5","30.5","55.8","61.0","3.0","0.4","15.0","2.7","11.9","5.6","0.2","0.2","3.2","15.0","12.5","2.7","12.3","6.3","6.2","0.5","9","1","252.0","20","3","181","4","20","1.0","17.9","3","1","3","1","2","7","1","7"," (Operator: afolabi, Time: )"
"2020","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","7188","20.GS.C2.UYT.36.setA.IB","Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ibadan for 2020-21 breeding season","RCBD","4","4","0.064","no","no","2020-May-15","2021-May-15","3","Ibadan","1936","IITA-TMS-IBA000070","00/0070,I000070,IBA000070,IITA-IITA-TMS-IBA000070,IITA-TMS-000070,TMS 00/0070,TMS-70,TMS-I000070,TMS-IBA000070","plant","4035284","2021-20.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA000070_119_plant_1","1","2","119","","","test","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","7188","20.GS.C2.UYT.36.setA.IB","Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ibadan for 2020-21 breeding season","RCBD","4","4","0.064","no","no","2020-May-15","2021-May-15","3","Ibadan","5","IITA-TMS-IBA30572","30572,I30572,IBA30572,IITA-IITA-TMS-IBA30572,MIGYERA,NASE3,TMS-I30572,TMS-IBA30572","plot","2168965","2021-20.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA30572_121","1","3","121","1","4","check","","","","","","","","","","","93.1","-0.7","0","21.4","4","1.0","2","4","0.1","3","5","34.3","8.9","1","58.0","5","25.9","37.4","51.8","2.9","0.3","15.0","2.6","12.1","5.6","0.2","0.2","3.0","15.0","12.7","2.3","12.7","5.9","5.8","0.6","5","1","183.0","18","3","147","5","18","0.9","17.0","4","1","3","1","2","5","1","5"," (Operator: afolabi, Time: )"
"2020","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","7188","20.GS.C2.UYT.36.setA.IB","Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ibadan for 2020-21 breeding season","RCBD","4","4","0.064","no","no","2020-May-15","2021-May-15","3","Ibadan","5","IITA-TMS-IBA30572","30572,I30572,IBA30572,IITA-IITA-TMS-IBA30572,MIGYERA,NASE3,TMS-I30572,TMS-IBA30572","plant","4035338","2021-20.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA30572_121_plant_1","1","3","121","","","test","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","7188","20.GS.C2.UYT.36.setA.IB","Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ibadan for 2020-21 breeding season","RCBD","4","4","0.064","no","no","2020-May-15","2021-May-15","3","Ibadan","723","IITA-TMS-IBA980581","98/0581,980581,Dixon,I980581,IBA980581,IITA-IBA980581,IITA-TMS-980581,TMS 98/0581,TMS-I980581","plot","2168984","2021-20.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA980581_108","1","1","108","1","2","check","","","","","","","","","","","92.4","-0.9","1","20.7","4","1.0","2","2","0.0","1","5","35.0","12.2","1","130.6","5","35.0","75.8","69.9","3.1","0.2","15.0","3.2","11.7","5.5","0.3","0.2","3.1","15.0","11.9","2.6","11.7","6.1","6.0","0.5","9","1","236.0","20","3","232","2","20","1.0","16.3","3","1","2","1","2","5","1","7"," (Operator: afolabi, Time: )"
"2020","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","7188","20.GS.C2.UYT.36.setA.IB","Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ibadan for 2020-21 breeding season","RCBD","4","4","0.064","no","no","2020-May-15","2021-May-15","3","Ibadan","723","IITA-TMS-IBA980581","98/0581,980581,Dixon,I980581,IBA980581,IITA-IBA980581,IITA-TMS-980581,TMS 98/0581,TMS-I980581","plant","4035297","2021-20.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA980581_108_plant_1","1","1","108","","","test","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","7188","20.GS.C2.UYT.36.setA.IB","Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ibadan for 2020-21 breeding season","RCBD","4","4","0.064","no","no","2020-May-15","2021-May-15","3","Ibadan","725","IITA-TMS-IBA982101","98/2101,I982101,IBA982101,IITA-TMS-982101,TMS 98/2101,TMS-982101,TMS-I982101,TMS-IBA982101","plot","2168967","2021-20.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA982101_120","1","2","120","1","4","check","","","","","","","","","","","87.2","-1.1","1","20.9","4","1.0","2","2","0.0","1","5","32.2","7.7","1","19.0","3","23.9","54.4","47.8","2.6","0.5","15.0","1.8","12.9","5.0","0.3","0.2","3.0","15.0","13.4","1.6","13.4","6.0","6.0","0.5","9","1","238.0","10","3","107","8","10","0.5","14.2","2","1","3","1","2","5","1","7"," (Operator: afolabi, Time: )"
"2020","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","7188","20.GS.C2.UYT.36.setA.IB","Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ibadan for 2020-21 breeding season","RCBD","4","4","0.064","no","no","2020-May-15","2021-May-15","3","Ibadan","725","IITA-TMS-IBA982101","98/2101,I982101,IBA982101,IITA-TMS-982101,TMS 98/2101,TMS-982101,TMS-I982101,TMS-IBA982101","plant","4035323","2021-20.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA982101_120_plant_1","1","2","120","","","test","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","7188","20.GS.C2.UYT.36.setA.IB","Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ibadan for 2020-21 breeding season","RCBD","4","4","0.064","no","no","2020-May-15","2021-May-15","3","Ibadan","39671","TMEB419","GBAZEKOUTE,OBAMA,TME 419","plot","2168962","2021-20.GS.C2.UYT.36.setA.IB-rep1-TMEB419_123","1","3","123","1","4","check","","","","","","","","","","","91.3","-1.1","0","19.4","2","1.0","2","3","0.0","1","5","33.2","2.9","1","123.2","5","8.7","37.2","17.4","","","","","","","0.3","0.2","1.9","15.0","10.2","2.2","9.8","4.0","3.9","0.3","5","3","234.6","20","3","98","42","20","1.0","15.6","3","1","1","1","2","3","1","5"," (Operator: afolabi, Time: )"
"2020","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","7188","20.GS.C2.UYT.36.setA.IB","Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ibadan for 2020-21 breeding season","RCBD","4","4","0.064","no","no","2020-May-15","2021-May-15","3","Ibadan","39671","TMEB419","GBAZEKOUTE,OBAMA,TME 419","plant","4035305","2021-20.GS.C2.UYT.36.setA.IB-rep1-TMEB419_123_plant_1","1","3","123","","","test","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
