,accession_name,leaf_no,Slice,Total.Area
1,IITA_TMS_IBA00070,1,scan_1,180.524
2,IITA_TMS_IBA00070,2,scan_2,113.776
3,IITA_TMS_IBA00070,3,scan_3,84.018
4,IITA_TMS_IBA00070,4,scan_4,145.711
5,IITA_TMS_IBA00070,5,scan_5,232.825
6,IITA_TMS_IBA00070,6,scan_6,176.918
7,IITA_TMS_IBA00070,7,scan_7,132.37
8,IITA_TMS_IBA00070,8,scan_8,126.182
9,IITA_TMS_IBA00070,9,scan_9,180.41
10,IITA_TMS_IBA00070,10,scan_10,138.923
11,IITA_TMS_IBA30572,1,scan_1,112.06
12,IITA_TMS_IBA30572,2,scan_2,112.712
13,IITA_TMS_IBA30572,3,scan_3,122.68
14,IITA_TMS_IBA30572,4,scan_4,121.223
15,IITA_TMS_IBA30572,5,scan_5,127.449
16,IITA_TMS_IBA30572,6,scan_6,119.353
17,IITA_TMS_IBA30572,7,scan_7,168.886
18,IITA_TMS_IBA30572,8,scan_8,181.935
19,IITA_TMS_IBA30572,10,scan_10,155.953
20,IITA_TMS_IBA980581,1,scan_1,256.842
21,IITA_TMS_IBA980581,2,scan_2,192.33
22,IITA_TMS_IBA980581,3,scan_3,233.144
23,IITA_TMS_IBA980581,4,scan_4,289.306
24,IITA_TMS_IBA980581,5,scan_5,316.47
25,IITA_TMS_IBA980581,6,scan_6,269.02
26,IITA_TMS_IBA980581,7,scan_7,317.04
27,IITA_TMS_IBA980581,8,scan_8,295.385
28,IITA_TMS_IBA980581,9,scan_9,282.331
29,IITA_TMS_IBA980581,10,scan_10,222.861
30,IITA_TMS_IBA982101,1,scan_1,236.378
31,IITA_TMS_IBA982101,2,scan_2,243.971
32,IITA_TMS_IBA982101,3,scan_3,251.661
33,IITA_TMS_IBA982101,4,scan_4,225.481
34,IITA_TMS_IBA982101,5,scan_5,231.772
35,IITA_TMS_IBA982101,6,scan_6,287.914
36,IITA_TMS_IBA982101,7,scan_7,260.515
37,IITA_TMS_IBA982101,8,scan_8,222.159
38,IITA_TMS_IBA982101,9,scan_9,239.37
39,IITA_TMS_IBA982101,10,scan_10,212.245
40,TMEB419,1,scan_1,299.012
41,TMEB419,2,scan_2,294.571
42,TMEB419,3,scan_3,320.486
43,TMEB419,4,scan_4,318.194
44,TMEB419,5,scan_5,311.49
45,TMEB419,6,scan_6,330.134
46,TMEB419,7,scan_7,310.548
47,TMEB419,8,scan_8,316.736
48,TMEB419,9,scan_9,315.251
49,TMEB419,10,scan_10,316.402
50,TMS13F1021P0008,1,scan_1,225.077
51,TMS13F1021P0008,2,scan_2,97.122
52,TMS13F1021P0008,3,scan_3,154.701
53,TMS13F1021P0008,4,scan_4,112.273
54,TMS13F1021P0008,5,scan_5,147.071
55,TMS13F1021P0008,6,scan_6,164.999
56,TMS13F1021P0008,7,scan_7,141.534
57,TMS13F1021P0008,8,scan_8,180.966
58,TMS13F1021P0008,9,scan_9,223.848
59,TMS13F1021P0008,10,scan_10,124.27
60,TMS13F1114P0001,1,scan_1,132.003
61,TMS13F1114P0001,2,scan_2,155.298
62,TMS13F1114P0001,3,scan_3,134.818
63,TMS13F1114P0001,4,scan_4,122.332
64,TMS13F1114P0001,5,scan_5,119.73
65,TMS13F1114P0001,6,scan_6,114.542
66,TMS13F1114P0001,7,scan_7,160.738
67,TMS13F1114P0001,8,scan_8,158.51
68,TMS13F1114P0001,9,scan_9,137.118
69,TMS13F1114P0001,10,scan_10,194.573
70,TMS13F1126P0003,1,scan_1,145.524
71,TMS13F1126P0003,2,scan_2,108.008
72,TMS13F1126P0003,3,scan_3,93.386
73,TMS13F1126P0003,4,scan_4,120.233
74,TMS13F1126P0003,5,scan_5,168.382
75,TMS13F1126P0003,6,scan_6,132.241
76,TMS13F1126P0003,7,scan_7,135.709
77,TMS13F1126P0003,8,scan_8,149.695
78,TMS13F1126P0003,9,scan_9,94.814
79,TMS13F1126P0003,10,scan_10,109.56
80,TMS13F1182P0002,1,scan_1,218.413
81,TMS13F1182P0002,2,scan_2,209.952
82,TMS13F1182P0002,3,scan_3,209.005
83,TMS13F1182P0002,4,scan_4,191.337
84,TMS13F1182P0002,5,scan_5,233.403
85,TMS13F1182P0002,6,scan_6,231.901
86,TMS13F1182P0002,7,scan_7,203.425
87,TMS13F1182P0002,8,scan_8,237.701
88,TMS13F1182P0002,9,scan_9,196.999
89,TMS13F1304P0003,1,scan_1,193.103
90,TMS13F1304P0003,2,scan_2,249.222
91,TMS13F1304P0003,3,scan_3,199.312
92,TMS13F1304P0003,4,scan_4,174.508
93,TMS13F1304P0003,5,scan_5,237.422
94,TMS13F1304P0003,6,scan_6,156.232
95,TMS13F1304P0003,7,scan_7,178.675
96,TMS13F1304P0003,8,scan_8,250.921
97,TMS13F1304P0003,9,scan_9,225.254
98,TMS13F1304P0003,10,scan_10,245.743
99,TMS13F1376P0018,1,scan_1,171.117
100,TMS13F1376P0018,2,scan_2,192.153
101,TMS13F1376P0018,3,scan_3,182.916
102,TMS13F1376P0018,4,scan_4,231.641
103,TMS13F1376P0018,5,scan_5,219.175
104,TMS13F1376P0018,6,scan_6,212.501
105,TMS13F1376P0018,7,scan_7,192.576
106,TMS13F1376P0018,8,scan_8,199.903
107,TMS13F1376P0018,9,scan_9,235.305
108,TMS13F1376P0018,10,scan_10,175.123
109,TMS13F1400P0001,1,scan_1,99.833
110,TMS13F1400P0001,2,scan_2,95.396
111,TMS13F1400P0001,3,scan_3,68.676
112,TMS13F1400P0001,4,scan_4,104.719
113,TMS13F1400P0001,5,scan_5,103.924
114,TMS13F1400P0001,6,scan_6,83.271
115,TMS13F1400P0001,7,scan_7,95.592
116,TMS13F1400P0001,8,scan_8,83.903
117,TMS13F1400P0001,9,scan_9,106.504
118,TMS13F1400P0001,10,scan_10,91.296
119,TMS13F1461P0002,1,scan_1,134.588
120,TMS13F1461P0002,2,scan_2,141.024
121,TMS13F1461P0002,3,scan_3,102.648
122,TMS13F1461P0002,4,scan_4,159.284
123,TMS13F1461P0002,5,scan_5,152.518
124,TMS13F1461P0002,6,scan_6,121.843
125,TMS13F1461P0002,7,scan_7,114.311
126,TMS13F1461P0002,8,scan_8,132.264
127,TMS13F1461P0002,9,scan_9,105.164
128,TMS13F1461P0002,10,scan_10,95.924
129,TMS13F2061P0005,1,scan_1,165.724
130,TMS13F2061P0005,2,scan_2,189.336
131,TMS13F2061P0005,3,scan_3,134.448
132,TMS13F2061P0005,4,scan_4,177.115
133,TMS13F2061P0005,5,scan_5,134.807
134,TMS13F2061P0005,6,scan_6,152.73
135,TMS13F2061P0005,7,scan_7,192.579
136,TMS13F2061P0005,8,scan_8,209.468
137,TMS13F2061P0005,9,scan_9,179.899
138,TMS13F2061P0005,10,scan_10,130.98
139,TMS13F2207P0001,1,scan_1,181.95
140,TMS13F2207P0001,2,scan_2,199.63
141,TMS13F2207P0001,3,scan_3,269.789
142,TMS13F2207P0001,4,scan_4,222.392
143,TMS13F2207P0001,5,scan_5,253.046
144,TMS13F2207P0001,6,scan_6,236.05
145,TMS13F2207P0001,7,scan_7,243.353
146,TMS13F2207P0001,8,scan_8,230.217
147,TMS13F2207P0001,9,scan_9,218.162
148,TMS13F2207P0001,10,scan_10,273.49
149,TMS141295P0012,1,scan_1,111.815
150,TMS141295P0012,2,scan_2,126.065
151,TMS141295P0012,3,scan_3,129.569
152,TMS141295P0012,4,scan_4,136.144
153,TMS141295P0012,5,scan_5,98.277
154,TMS141295P0012,7,scan_7,135.495
155,TMS141295P0012,8,scan_8,98.981
156,TMS141295P0012,9,scan_9,117.079
157,TMS141295P0012,10,scan_10,145.878
158,TMS14F1001P0004,1,scan_1,168.539
159,TMS14F1001P0004,2,scan_2,138.283
160,TMS14F1001P0004,3,scan_3,149.423
161,TMS14F1001P0004,4,scan_4,156.368
162,TMS14F1001P0004,5,scan_5,170.519
163,TMS14F1001P0004,6,scan_6,120.21
164,TMS14F1001P0004,7,scan_7,161.76
165,TMS14F1001P0004,8,scan_8,137.451
166,TMS14F1001P0004,9,scan_9,157.337
167,TMS14F1001P0004,10,scan_10,142.772
168,TMS14F1013P0007,1,scan_1,121.821
169,TMS14F1013P0007,2,scan_2,87.781
170,TMS14F1013P0007,3,scan_3,114.798
171,TMS14F1013P0007,4,scan_4,84.266
172,TMS14F1013P0007,5,scan_5,118.676
173,TMS14F1013P0007,6,scan_6,99.744
174,TMS14F1013P0007,7,scan_7,133.843
175,TMS14F1013P0007,8,scan_8,109.22
176,TMS14F1013P0007,9,scan_9,143.779
177,TMS14F1013P0007,10,scan_10,105.415
178,TMS14F1014P0016,1,scan_1,84.407
179,TMS14F1014P0016,2,scan_2,148.397
180,TMS14F1014P0016,3,scan_3,111.079
181,TMS14F1014P0016,4,scan_4,128.898
182,TMS14F1014P0016,5,scan_5,82.017
183,TMS14F1014P0016,6,scan_6,85.491
184,TMS14F1014P0016,8,scan_8,67.026
185,TMS14F1014P0016,9,scan_9,73.59
186,TMS14F1014P0016,10,scan_10,63.504
187,TMS14F1014P0017,1,scan_1,148.965
188,TMS14F1014P0017,2,scan_2,172.962
189,TMS14F1014P0017,3,scan_3,179.316
190,TMS14F1014P0017,4,scan_4,179.764
191,TMS14F1014P0017,5,scan_5,124.449
192,TMS14F1014P0017,6,scan_6,145.801
193,TMS14F1014P0017,7,scan_7,177.01
194,TMS14F1014P0017,8,scan_8,166.128
195,TMS14F1014P0017,9,scan_9,153.697
196,TMS14F1014P0017,10,scan_10,127.723
197,TMS14F1016P0006,1,scan_1,130.852
198,TMS14F1016P0006,2,scan_2,135.991
199,TMS14F1016P0006,3,scan_3,150.295
200,TMS14F1016P0006,4,scan_4,131.23
201,TMS14F1016P0006,5,scan_5,189.41
202,TMS14F1016P0006,6,scan_6,134.578
