plant_name,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,plant_number,branching level counting after 21 days|CO_334:0000079,number of nodes after Last branching Level,New nodes Counting after Tag,number of forks at new branching level if existing,New Branching Height if existing,plant height with leaf after 21 days in cm|CO_334:0000123,stem diameter measurement after 21 days,Branching_1-2_diameter after 21 days,Branching_2-3_diameter after 21 days,Branching_3-4_diameter after 21 days
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,1,,1,1,1,1,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,1,,1,1,1,2,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,1,,1,1,1,3,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,1,,1,1,1,4,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,1,,1,1,1,5,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,1,,1,1,2,1,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,1,,1,1,2,2,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,1,,1,1,2,3,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,1,,1,1,2,4,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,1,,1,1,2,5,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,1,,1,1,3,1,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,1,,1,1,3,2,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,1,,1,1,3,3,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,1,,1,1,3,4,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,1,,1,1,3,5,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104,TMS14F1303P0012,104,1,,1,1,4,1,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104,TMS14F1303P0012,104,1,,1,1,4,2,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104,TMS14F1303P0012,104,1,,1,1,4,3,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104,TMS14F1303P0012,104,1,,1,1,4,4,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104,TMS14F1303P0012,104,1,,1,1,4,5,,,,,,,,,,
