plant_name,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,plant_number,branching level counting after 21 days|CO_334:0000079,number of nodes after Last branching Level,New nodes Counting after Tag,number of forks at new branching level if existing,New Branching Height if existing,plant height with leaf after 21 days in cm|CO_334:0000123,stem diameter measurement after 21 days,Branching_1-2_diameter after 21 days,Branching_2-3_diameter after 21 days,Branching_3-4_diameter after 21 days
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_plant_1,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,1,,1,1,1,1,2,15,4,2,25,205,19.4,11.89,4.02,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_plant_2,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,1,,1,1,1,2,1,0,0,2,25,175,16.23,6.83,,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_plant_3,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,1,,1,1,1,3,,10,6,NA,25,190,18.52,9.12,,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_plant_4,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,1,,1,1,1,4,1,11,8,NA,20,185,18.85,10.68,,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_plant_5,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,1,,1,1,1,5,2,1,7,0,20,180,21.85,9.66,4.82,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_plant_1,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,1,,1,1,2,1,2,2,5,NA,10,140,15.71,8.92,4.7,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_plant_2,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,1,,1,1,2,2,3,6,2,2,10,160,19.71,10.27,5.49,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_plant_3,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,1,,1,1,2,3,3,5,3,2,10,160,19.96,11.94,6.06,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_plant_4,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,1,,1,1,2,4,3,8,0,2,15,155,21.69,12.19,5.33,2.53
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_plant_5,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,1,,1,1,2,5,3,6,1,2,15,165,21.17,13.17,5.21,2.3
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_plant_1,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,1,,1,1,3,1,3,10,0,3,5,115,24.53,15.55,6.18,3.41
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_plant_2,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,1,,1,1,3,2,3,10,1,3,10,120,21.15,12.1,5.47,2.07
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_plant_3,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,1,,1,1,3,3,3,11,0,2,10,125,24.07,12.5,5.32,3.53
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_plant_4,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,1,,1,1,3,4,2,10,1,2,10,55,15.27,5.4,2.98,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_plant_5,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,1,,1,1,3,5,3,4,2,2,15,110,21.27,9.81,5.13,2.73
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104_plant_1,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104,TMS14F1195P0004,104,1,,1,2,3,1,3,5,5,2,20,165,20.05,13.83,5.9,1.77
