plant_name,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,plant_number,FieldNotes,Picture,"stem number counting			|CO_334:0000129","branching level counting			|CO_334:0000079","number of forks on branching level 1 counting			|CO_334:0000522","number of forks on branching level 2 counting			|CO_334:0000523","number of forks on branching level 3 counting			|CO_334:0000524","number of forks on branching level 4 counting			|CO_334:0000524-Copy-(0)",Plant height at first branching  Level,Plant height at second branching  Level,Plant height at third branching  Level,Plant height at fourth branching  Level,"plant height with leaf in cm			|CO_334:0000123","number of nodes at branching level 1 counting			|CO_334:0000352","number of nodes at branching level 2 counting			|CO_334:0000363","number of nodes at branching level 3 counting			|CO_334:0000368","number of nodes at branching level 4 counting			|CO_334:0000383","days to first forking event visual observation			|CO_334:0000467","days to second forking event visual observation			|CO_334:0000468","days to senescence on the first branch visual observation			|CO_334:0000518","days to third forking event visual observation			|CO_334:0000469","leaf life span in days			|CO_334:0000049",Leaf Lobe Counting,"leaf_1 lobe length measurement in cm			|CO_334:0000164","leaf_1 lobe Width measurement in cm			|CO_334:0000164-Copy-(0)","leaf_2 lobe length measurement in cm			|CO_334:0000164-Copy-(0)","leaf_2 lobe Width measurement in cm			|CO_334:0000164-Copy-(1)","leaf_3 lobe length measurement in cm - Leaf 1		|CO_334:0000164-Copy-(1)","leaf_3 lobe width measurement in cm			|CO_334:0000165",notes,"stem diameter measurement in cm|month 5			|COMP:0000129",Section_1 from branching_1-2_diameter,section from Branching_2-3_diameter,section from Branching_3-4_diameter
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,1,,1,1,1,1,,,3,2,2,2,0,0,50,0,0,0,95,11,1,0,0,,40,,0,,6,11,4,12,4.6,11.9,4.7,,10.68,6.24,0,0
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,1,,1,1,1,2,,,2,2,2,2,0,,60,105,0,0,115,21,5,0,0,,14,,14,,7,14,5,16.5,5.5,14.5,5,,18.7,10.97,4.2,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,1,,1,1,1,3,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,1,,1,1,1,4,,,2,2,2,2,0,,60,105,0,0,125,16,4,0,0,,14,,0,,7,13,5,15.5,5.5,13.5,4.8,,17.6,12.07,4.31,0
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,1,,1,1,1,5,,,4,1,2,0,0,,100,0,0,0,105,3,0,0,0,,14,,0,,7,13.5,4,12,4.2,13,5,fidid,8.31,3.37,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,1,,1,1,2,1,,,4,1,3,0,0,,135,,,,150,7,0,0,0,,0,,,,9,16,7,14,5,12.5,4.5,,18.99,7.6,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,1,,1,1,2,2,,,3,1,3,0,0,,100,,,,140,12,0,0,0,,0,,0,,7,13,5,12,4.5,12.5,4.5,,18.14,7.9,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,1,,1,1,2,3,,,4,1,2,0,0,,115,,,,135,4,0,0,0,,0,,0,,9,16,5.3,15.5,5.5,13,4.6,,13.28,9.79,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,1,,1,1,2,4,,,4,0,0,0,0,,0,0,0,0,155,0,0,0,0,,0,,0,,7,13,4,14.5,5,14.5,2,,13.48,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,1,,1,1,2,5,,,4,1,3,0,0,,145,,,,170,3,0,0,0,,0,,,,7,11.5,3.5,16,5,11.5,4,,18.23,6.8,,
