@VAR# VAR-NAME EXP# ECO# B01ND B12ND B23ND B34ND BR1FX BR2FX BR3FX BR4FX LAXS SLAS LLIFA LPEFR LNSLP NODWT NODLT
1 UC0020 IITA-TMS-IBA000070 . 990016 250 200 200 200 2.5 2 2 1.5 350 220 1000 0.33 1.2 4 2
2 UC0021 IITA-TMS-IBA30572 . 990016 250 200 200 200 2.9 2.8 3 1.5 350 220 1000 0.33 1.2 4 2
3 UC0022 IITA-TMS-IBA980581 . 990016 250 200 200 200 3.1 4 2 1.5 350 220 1000 0.33 1.2 4 2
4 UC0023 IITA-TMS-IBA982101 . 990016 250 200 200 200 2.4 2.2 2 1.5 350 220 1000 0.33 1.2 4 2
5 UC0024 TMEB419 . 990016 250 200 200 200 3.6 3 3 1.5 350 220 1000 0.33 1.2 4 2
6 UC0025 TMS13F1021P0008 . 990016 250 200 200 200 2.3 2.8 2 1.5 350 220 1000 0.33 1.2 4 2
7 UC0026 TMS13F1049P0001 . 990016 250 200 200 200 2.5 3 2 1.5 350 220 1000 0.33 1.2 4 2
8 UC0027 TMS13F1114P0001 . 990016 250 200 200 200 2.4 2.8 2 1.5 350 220 1000 0.33 1.2 4 2
9 UC0028 TMS13F1126P0003 . 990016 250 200 200 200 2.8 3 2 1.5 350 220 1000 0.33 1.2 4 2
10 UC0029 TMS13F1182P0002 . 990016 250 200 200 200 2.3 2.1 2 1.5 350 220 1000 0.33 1.2 4 2
11 UC0030 TMS13F1304P0003 . 990016 250 200 200 200 2.3 2 2 1.5 350 220 1000 0.33 1.2 4 2
12 UC0031 TMS13F1315P0008 . 990016 250 200 200 200 2.2 2.7 3 1.5 350 220 1000 0.33 1.2 4 2
13 UC0032 TMS13F1376P0018 . 990016 250 200 200 200 2.2 2.7 2 1.5 350 220 1000 0.33 1.2 4 2
14 UC0033 TMS13F1400P0001 . 990016 250 200 200 200 2.5 2.7 2 1.5 350 220 1000 0.33 1.2 4 2
15 UC0034 TMS13F1461P0002 . 990016 250 200 200 200 2.4 2.8 2 1.5 350 220 1000 0.33 1.2 4 2
16 UC0035 TMS13F2061P0005 . 990016 250 200 200 200 2.8 3 2 1.5 350 220 1000 0.33 1.2 4 2
17 UC0036 TMS13F2207P0001 . 990016 250 200 200 200 2.3 3 2 1.5 350 220 1000 0.33 1.2 4 2
18 UC0037 TMS14F1001P0004 . 990016 250 200 200 200 2.6 2.6 2 1.5 350 220 1000 0.33 1.2 4 2
19 UC0038 TMS14F1013P0007 . 990016 250 200 200 200 2.1 2.3 2 1.5 350 220 1000 0.33 1.2 4 2
20 UC0039 TMS14F1014P0016 . 990016 250 200 200 200 2 2.7 2 1.5 350 220 1000 0.33 1.2 4 2
21 UC0040 TMS14F1014P0017 . 990016 250 200 200 200 2.6 3 3 1.5 350 220 1000 0.33 1.2 4 2
22 UC0041 TMS14F1016P0006 . 990016 250 200 200 200 2.8 3 2 1.5 350 220 1000 0.33 1.2 4 2
23 UC0042 TMS14F1019P0015 . 990016 250 200 200 200 2.2 2.1 2 1.5 350 220 1000 0.33 1.2 4 2
24 UC0043 TMS14F1022P0003 . 990016 250 200 200 200 2 3 2 1.5 350 220 1000 0.33 1.2 4 2
25 UC0044 TMS14F1022P0006 . 990016 250 200 200 200 3 3.2 2 1.5 350 220 1000 0.33 1.2 4 2
26 UC0045 TMS14F1035P0004 . 990016 250 200 200 200 2.6 3 3 1.5 350 220 1000 0.33 1.2 4 2
27 UC0046 TMS14F1035P0007 . 990016 250 200 200 200 2.8 2 2 1.5 350 220 1000 0.33 1.2 4 2
28 UC0047 TMS14F1036P0007 . 990016 250 200 200 200 2.4 2.5 2 1.5 350 220 1000 0.33 1.2 4 2
29 UC0048 TMS14F1049P0001 . 990016 250 200 200 200 2.8 2.7 2 1.5 350 220 1000 0.33 1.2 4 2
30 UC0049 TMS14F1098P0013 . 990016 250 200 200 200 2.4 3 2 1.5 350 220 1000 0.33 1.2 4 2
31 UC0050 TMS14F1120P0003 . 990016 250 200 200 200 2.4 2.6 2 1.5 350 220 1000 0.33 1.2 4 2
32 UC0051 TMS14F1125P0010 . 990016 250 200 200 200 2.6 2.9 2 1.5 350 220 1000 0.33 1.2 4 2
33 UC0052 TMS14F1131P0001 . 990016 250 200 200 200 2.9 2.7 2 1.5 350 220 1000 0.33 1.2 4 2
34 UC0053 TMS14F1146P0002 . 990016 250 200 200 200 2.7 2.7 2 1.5 350 220 1000 0.33 1.2 4 2
35 UC0054 TMS14F1159P0003 . 990016 250 200 200 200 2 2 2 1.5 350 220 1000 0.33 1.2 4 2
36 UC0055 TMS14F1194P0002 . 990016 250 200 200 200 2.6 2.7 2 1.5 350 220 1000 0.33 1.2 4 2
37 UC0056 TMS14F1195P0004 . 990016 250 200 200 200 2.6 2.8 2 1.5 350 220 1000 0.33 1.2 4 2
38 UC0057 TMS14F1195P0005 . 990016 250 200 200 200 2.7 3.1 3 1.5 350 220 1000 0.33 1.2 4 2
39 UC0058 TMS14F1196P0003 . 990016 250 200 200 200 2.9 4 2 1.5 350 220 1000 0.33 1.2 4 2
40 UC0059 TMS14F1208P0007 . 990016 250 200 200 200 3 2.9 3 1.5 350 220 1000 0.33 1.2 4 2
41 UC0060 TMS14F1223P0007 . 990016 250 200 200 200 2.1 2.4 2 1.5 350 220 1000 0.33 1.2 4 2
42 UC0061 TMS14F1224P0004 . 990016 250 200 200 200 2.6 3 2.8 1.5 350 220 1000 0.33 1.2 4 2
43 UC0062 TMS14F1262P0002 . 990016 250 200 200 200 3 2.2 2 1.5 350 220 1000 0.33 1.2 4 2
44 UC0063 TMS14F1278P0003 . 990016 250 200 200 200 2.9 2.9 2 1.5 350 220 1000 0.33 1.2 4 2
45 UC0064 TMS14F1285P0006 . 990016 250 200 200 200 2.1 2 2 1.5 350 220 1000 0.33 1.2 4 2
46 UC0065 TMS14F1285P0017 . 990016 250 200 200 200 2.2 2.7 2 1.5 350 220 1000 0.33 1.2 4 2
47 UC0066 TMS14F1287P0008 . 990016 250 200 200 200 2 2 2 1.5 350 220 1000 0.33 1.2 4 2
48 UC0067 TMS14F1288P0008 . 990016 250 200 200 200 2.8 2 1 1.5 350 220 1000 0.33 1.2 4 2
49 UC0068 TMS14F1291P0003 . 990016 250 200 200 200 2.7 2.7 2 1.5 350 220 1000 0.33 1.2 4 2
50 UC0069 TMS14F1291P0011 . 990016 250 200 200 200 2.3 2.7 2 1.5 350 220 1000 0.33 1.2 4 2
51 UC0070 TMS14F1291P0012 . 990016 250 200 200 200 2.4 2.8 2 1.5 350 220 1000 0.33 1.2 4 2
52 UC0071 TMS14F1292P0012 . 990016 250 200 200 200 2.6 2.8 2 1.5 350 220 1000 0.33 1.2 4 2
53 UC0072 TMS14F1295P0012 . 990016 250 200 200 200 2.6 2.7 2 1.5 350 220 1000 0.33 1.2 4 2
54 UC0073 TMS14F1297P0019 . 990016 250 200 200 200 2.3 3 2 1.5 350 220 1000 0.33 1.2 4 2
55 UC0074 TMS14F1299P0007 . 990016 250 200 200 200 2.3 2 2 1.5 350 220 1000 0.33 1.2 4 2
56 UC0075 TMS14F1300P0002 . 990016 250 200 200 200 2.5 2.7 2 1.5 350 220 1000 0.33 1.2 4 2
57 UC0076 TMS14F1300P0008 . 990016 250 200 200 200 2.6 3 2 1.5 350 220 1000 0.33 1.2 4 2
58 UC0077 TMS14F1301P0004 . 990016 250 200 200 200 2.9 2.7 2 1.5 350 220 1000 0.33 1.2 4 2
59 UC0078 TMS14F1301P0013 . 990016 250 200 200 200 2.5 2 2 1.5 350 220 1000 0.33 1.2 4 2
60 UC0079 TMS14F1303P0012 . 990016 250 200 200 200 2.3 2 2 1.5 350 220 1000 0.33 1.2 4 2
61 UC0080 TMS14F1306P0008 . 990016 250 200 200 200 2.3 3 2 1.5 350 220 1000 0.33 1.2 4 2
62 UC0081 TMS14F1306P0015 . 990016 250 200 200 200 2.8 2 2 1.5 350 220 1000 0.33 1.2 4 2
63 UC0082 TMS14F1306P0020 . 990016 250 200 200 200 2.1 2.7 2 1.5 350 220 1000 0.33 1.2 4 2
64 UC0083 TMS14F1310P0004 . 990016 250 200 200 200 2.3 2.4 2 1.5 350 220 1000 0.33 1.2 4 2
65 UC0084 TMS14F1310P0015 . 990016 250 200 200 200 3 2.7 2 1.5 350 220 1000 0.33 1.2 4 2
66 UC0085 TMS14F1311P0002 . 990016 250 200 200 200 2.3 2.5 2 1.5 350 220 1000 0.33 1.2 4 2
67 UC0086 TMS14F1312P0003 . 990016 250 200 200 200 2.1 2 2 1.5 350 220 1000 0.33 1.2 4 2
