leaf_name,plot_name,accession_name,plot_number,leaf_no,pedigree,block_number,rep_number,petiole length,leaf lobe length,leaf lobe width,lobe number
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_1,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,1,TMS13F1106P0006/TMS13F1108P0007,1,1,23,12.5,4.7,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_2,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,2,TMS13F1106P0006/TMS13F1108P0007,1,1,16,12.5,4.2,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_3,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,3,TMS13F1106P0006/TMS13F1108P0007,1,1,22.5,14,5.5,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_4,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,4,TMS13F1106P0006/TMS13F1108P0007,1,1,21,12,4.6,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_5,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,5,TMS13F1106P0006/TMS13F1108P0007,1,1,19,10.5,4.2,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_6,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,6,TMS13F1106P0006/TMS13F1108P0007,1,1,22.3,12.7,4.8,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_7,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,7,TMS13F1106P0006/TMS13F1108P0007,1,1,12.1,11.5,4.3,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_8,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,8,TMS13F1106P0006/TMS13F1108P0007,1,1,19,10.5,4,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_9,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,9,TMS13F1106P0006/TMS13F1108P0007,1,1,20,11.7,4.8,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_10,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,10,TMS13F1106P0006/TMS13F1108P0007,1,1,15.3,11.6,4.7,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_11,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,11,TMS13F1106P0006/TMS13F1108P0007,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_12,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,12,TMS13F1106P0006/TMS13F1108P0007,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_13,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,13,TMS13F1106P0006/TMS13F1108P0007,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_14,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,14,TMS13F1106P0006/TMS13F1108P0007,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_15,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,15,TMS13F1106P0006/TMS13F1108P0007,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_16,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,16,TMS13F1106P0006/TMS13F1108P0007,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_17,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,17,TMS13F1106P0006/TMS13F1108P0007,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_18,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,18,TMS13F1106P0006/TMS13F1108P0007,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_19,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,19,TMS13F1106P0006/TMS13F1108P0007,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_20,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,20,TMS13F1106P0006/TMS13F1108P0007,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_21,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,21,TMS13F1106P0006/TMS13F1108P0007,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_22,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,22,TMS13F1106P0006/TMS13F1108P0007,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_23,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,23,TMS13F1106P0006/TMS13F1108P0007,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_24,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,24,TMS13F1106P0006/TMS13F1108P0007,1,1,,,,
