leaf_name,plot_name,accession_name,plot_number,leaf_no,pedigree,block_number,rep_number,petiole length,leaf lobe length,leaf lobe width,lobe number
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_1,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,1,IITA-TMS-IBA020540/IITA-TMS-IBA030055A,1,1,30,14.5,4.7,7
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_2,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,2,IITA-TMS-IBA020540/IITA-TMS-IBA030055A,1,1,23,13,4.7,5
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_3,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,3,IITA-TMS-IBA020540/IITA-TMS-IBA030055A,1,1,25,14.5,4.4,7
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_4,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,4,IITA-TMS-IBA020540/IITA-TMS-IBA030055A,1,1,15,12.5,4,5
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_5,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,5,IITA-TMS-IBA020540/IITA-TMS-IBA030055A,1,1,22.5,15,4.9,7
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_6,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,6,IITA-TMS-IBA020540/IITA-TMS-IBA030055A,1,1,18,13,4,7
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_7,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,7,IITA-TMS-IBA020540/IITA-TMS-IBA030055A,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_8,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,8,IITA-TMS-IBA020540/IITA-TMS-IBA030055A,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_9,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,9,IITA-TMS-IBA020540/IITA-TMS-IBA030055A,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_10,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,10,IITA-TMS-IBA020540/IITA-TMS-IBA030055A,1,1,,,,
