"accession_name","rep_number","plant_number","stem_nu","NODLT","Total_nod","B1D","B2D","B3D","B4D","LAIm","LAIX","BR#S","L#SX","L#IR"
"TMS14F1223P0007",1,1,3,NA,NA,50,NA,NA,NA,145.0014,NA,3,NA,NA
"TMS14F1223P0007",1,2,2,2.14285714285714,160,60,105,NA,NA,236.2575,4.72515,2,80,NA
"TMS14F1223P0007",1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMS14F1223P0007",1,4,2,2.8125,122.666666666667,60,105,NA,NA,219.6955,3.36866433333333,2,61.3333333333333,NA
"TMS14F1223P0007",1,5,4,NA,NA,100,NA,NA,NA,178.154,NA,4,NA,NA
"TMS14F1194P0002",1,1,4,NA,NA,135,NA,NA,NA,302.7525,NA,4,NA,NA
"TMS14F1194P0002",1,2,3,NA,NA,100,NA,NA,NA,183.4775,NA,3,NA,NA
"TMS14F1194P0002",1,3,4,NA,NA,115,NA,NA,NA,292.9245,NA,4,NA,NA
"TMS14F1194P0002",1,4,4,NA,NA,NA,NA,NA,NA,163.685,NA,4,NA,NA
"TMS14F1194P0002",1,5,4,NA,NA,145,NA,NA,NA,175.2875,NA,4,NA,NA
"TMS14F1195P0005",1,1,1,3.82352941176471,70.5384615384615,25,90,NA,NA,253.086,2.23153713461538,1,70.5384615384615,NA
"TMS14F1195P0005",1,2,1,14.6428571428571,81.7073170731707,25,85,160,NA,155.677,1.58999375,1,81.7073170731707,NA
"TMS14F1195P0005",1,3,2,2.85714285714286,229,70,150,NA,NA,234.132,6.7020285,2,114.5,NA
"TMS14F1195P0005",1,4,3,3.33333333333333,315,60,140,NA,NA,256.245,10.089646875,3,105,NA
"TMS14F1195P0005",1,5,1,1.66666666666667,126,20,50,NA,NA,234.366,3.6912645,1,126,NA
"TMS14F1303P0012",1,1,5,4.31818181818182,464.210526315789,90,185,NA,NA,218.558,12.6821155263158,5,92.8421052631579,NA
"TMS14F1303P0012",1,2,4,5,356,95,205,NA,NA,226.748,10.090286,4,89,NA
"TMS14F1303P0012",1,3,2,4.375,153.714285714286,100,205,NA,NA,411.27,7.90225928571429,2,76.8571428571429,NA
"TMS14F1303P0012",1,4,3,NA,NA,160,NA,NA,NA,268.2622,NA,3,NA,NA
"TMS14F1303P0012",1,5,5,NA,NA,165,NA,NA,NA,262.8295,NA,5,NA,NA
"TMS13F2207P0001",1,1,4,NA,NA,140,NA,NA,NA,188.2095,NA,4,NA,NA
"TMS13F2207P0001",1,2,3,5.3125,164.294117647059,105,190,NA,NA,180.975,3.71664099264706,3,54.7647058823529,NA
"TMS13F2207P0001",1,3,1,NA,NA,125,NA,NA,NA,197.446,NA,1,NA,NA
"TMS13F2207P0001",1,4,2,3.5,198,105,175,NA,NA,305.9115,7.571309625,2,99,NA
"TMS13F2207P0001",1,5,2,1.95652173913043,262.444444444444,110,155,NA,NA,191.713,6.28925147222222,2,131.222222222222,NA
"TMS14F1285P0017",1,1,5,NA,NA,NA,NA,NA,NA,208.366,NA,5,NA,NA
"TMS14F1285P0017",1,2,3,NA,NA,NA,NA,NA,NA,195.08,NA,3,NA,NA
"TMS14F1285P0017",1,3,3,NA,NA,NA,NA,NA,NA,221.015,NA,3,NA,NA
"TMS14F1285P0017",1,4,5,NA,NA,NA,NA,NA,NA,198.811,NA,5,NA,NA
"TMS14F1285P0017",1,5,4,NA,NA,NA,NA,NA,NA,185.434,NA,4,NA,NA
"TMS14F1224P0004",1,1,2,10.2083333333333,153.877551020408,30,100,170,NA,192.623,3.70504443877551,2,76.9387755102041,NA
"TMS14F1224P0004",1,2,1,3.16666666666667,87.0526315789474,35,60,75,NA,175.606,1.91087055263158,1,87.0526315789474,NA
"TMS14F1224P0004",1,3,3,3.92857142857143,192.818181818182,60,115,NA,NA,149.853,3.611797875,3,64.2727272727273,NA
"TMS14F1224P0004",1,4,2,8.64285714285714,188.099173553719,35,100,140,NA,153.22,3.6025694214876,2,94.0495867768595,NA
"TMS14F1224P0004",1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IITA-TMS-IBA980581",1,1,3,NA,NA,135,NA,NA,NA,341.9085,NA,3,NA,NA
"IITA-TMS-IBA980581",1,2,2,NA,NA,95,NA,NA,NA,410.1,NA,2,NA,NA
"IITA-TMS-IBA980581",1,3,4,NA,NA,NA,NA,NA,NA,316.6105,NA,4,NA,NA
"IITA-TMS-IBA980581",1,4,1,NA,NA,NA,NA,NA,NA,309.194,NA,1,NA,NA
"IITA-TMS-IBA980581",1,5,1,4.33333333333333,157.153846153846,70,135,NA,NA,282.44,5.54831653846154,1,157.153846153846,NA
"TMS14F1016P0006",1,1,1,NA,NA,75,NA,NA,NA,192.714,NA,1,NA,NA
"TMS14F1016P0006",1,2,2,NA,NA,90,NA,NA,NA,258.819,NA,2,NA,NA
"TMS14F1016P0006",1,3,4,NA,NA,105,NA,NA,NA,191.44,NA,4,NA,NA
"TMS14F1016P0006",1,4,1,NA,NA,100,NA,NA,NA,318.255,NA,1,NA,NA
"TMS14F1016P0006",1,5,3,NA,NA,95,NA,NA,NA,146.07,NA,3,NA,NA
"TMS14F1300P0008",1,1,2,NA,NA,90,NA,NA,NA,303.9225,NA,2,NA,NA
"TMS14F1300P0008",1,2,3,NA,NA,100,NA,NA,NA,160.5,NA,3,NA,NA
"TMS14F1300P0008",1,3,3,NA,NA,70,NA,NA,NA,286.782,NA,3,NA,NA
"TMS14F1300P0008",1,4,2,NA,NA,110,NA,NA,NA,289.005,NA,2,NA,NA
"TMS14F1300P0008",1,5,2,3.82352941176471,135.384615384615,60,125,NA,NA,243.9925,4.12910384615385,2,67.6923076923077,NA
"TMS13F2061P0005",1,1,3,NA,NA,110,NA,NA,NA,181.43,NA,3,NA,NA
"TMS13F2061P0005",1,2,3,NA,NA,105,NA,NA,NA,140.935,NA,3,NA,NA
"TMS13F2061P0005",1,3,3,2.75,310.636363636364,95,150,NA,NA,189.347,7.35225794318182,3,103.545454545455,NA
