Clone,CB_3Min,CB_3Msev,CGM_1sev,CGM_2sev,CMO_1Min,CMO_3Min,CMO_1Msev,CMO_3Msev
IITA-TMS-IBA000070,1,2,NA,NA,0,0,1,1
IITA-TMS-IBA000070,1,2,NA,NA,0,0,1,1
IITA-TMS-IBA000070,0.93,2,NA,NA,0,0,1,1
IITA-TMS-IBA000070,0,1,NA,NA,0,0,1,1
IITA-TMS-IBA000070,0,1,NA,NA,0,0,1,1
IITA-TMS-IBA000070,0,1,NA,NA,0,0,1,1
IITA-TMS-IBA000070,0.83,3,3,NA,0,0,1,1
IITA-TMS-IBA000070,0.61,3,2,NA,0,0,1,1
IITA-TMS-IBA000070,0.89,3,3,NA,0,0,1,1
IITA-TMS-IBA000070,NA,NA,NA,NA,NA,NA,NA,NA
IITA-TMS-IBA000070,NA,NA,NA,NA,NA,NA,NA,NA
IITA-TMS-IBA000070,NA,NA,NA,NA,NA,NA,NA,NA
IITA-TMS-IBA000070,0.26,2,NA,NA,0,0,1,1
IITA-TMS-IBA000070,0,1,NA,NA,0,0,1,1
IITA-TMS-IBA000070,0.34,2,NA,NA,0,0,1,1
IITA-TMS-IBA000070,0.48,2,NA,NA,0,0,1,1
IITA-TMS-IBA000070,0.45,3,NA,NA,0,0,1,1
IITA-TMS-IBA000070,0.6,2,NA,NA,0,0,1,1
IITA-TMS-IBA000070,1,2,5,2,0,0,1,2
IITA-TMS-IBA000070,1,2,4,2,0,0,1,1
IITA-TMS-IBA000070,1,2,4,2,0,0,1,1
IITA-TMS-IBA000070,0,1,5,2,0,0,1,1
IITA-TMS-IBA000070,0,1,4,2,0,0,1,2
IITA-TMS-IBA000070,0,1,4,2,0,0,1,2
IITA-TMS-IBA000070,0.2,3,2,NA,0,0,2,1
IITA-TMS-IBA000070,0.6,3,3,NA,0,0,1,1
IITA-TMS-IBA000070,0.1,2,2,NA,0,0,1,1
IITA-TMS-IBA000070,0.3,3,4,NA,0,0,1,1
IITA-TMS-IBA000070,0.5,2,3,NA,0,0,1,3
IITA-TMS-IBA000070,0.6,3,3,NA,0.1,0,2,1
IITA-TMS-IBA000070,0,1,NA,NA,0,0,1,1
IITA-TMS-IBA000070,0.28,2,NA,NA,0,0,1,1
IITA-TMS-IBA000070,0.29,3,NA,NA,0,0,1,1
IITA-TMS-IBA000070,0.5,3,NA,NA,0,0,1,1
IITA-TMS-IBA000070,0.69,2,NA,NA,0,0,1,1
IITA-TMS-IBA000070,0,1,NA,NA,0,0,1,1
IITA-TMS-IBA000070,0,1,NA,NA,0,0,1,1
IITA-TMS-IBA000070,0,1,NA,NA,0,0,1,1
IITA-TMS-IBA000070,0.25,2,NA,NA,NA,0,NA,1
IITA-TMS-IBA000070,0,1,NA,NA,0,0,1,1
IITA-TMS-IBA000070,0,1,NA,NA,0,0,1,1
IITA-TMS-IBA000070,1,2,2,NA,0,0,1,2
IITA-TMS-IBA000070,1,2,2,NA,0,0,1,1
IITA-TMS-IBA000070,1,2,2,NA,0,0,1,1
IITA-TMS-IBA000070,0,1,3,2,0,0,1,1
IITA-TMS-IBA000070,0,1,3,2,0,0,1,2
IITA-TMS-IBA000070,0,1,3,2,0,0,2,2
IITA-TMS-IBA000070,0,1,2,NA,0,0,1,1
IITA-TMS-IBA000070,0.12,2,2,NA,0,0,1,1
IITA-TMS-IBA000070,0.2,2,2,NA,0,0,1,1
IITA-TMS-IBA000070,0,1,2,NA,0,0,1,1
IITA-TMS-IBA000070,0,1,2,NA,0,0,1,1
IITA-TMS-IBA000070,0,1,2,NA,0,1,1,3
IITA-TMS-IBA000070,0.2,2,4,4,0,0,1,1
IITA-TMS-IBA000070,0,1,2,4,0,0,1,1
IITA-TMS-IBA000070,0,1,2,4,0,0,1,1
IITA-TMS-IBA000070,0.4,2,4,NA,0,0,1,1
IITA-TMS-IBA000070,0.1,2,4,NA,0,0,1,1
IITA-TMS-IBA000070,0.1,2,4,NA,0,0,1,1
IITA-TMS-IBA000070,0.26,2,3,2,0,0,1,1
IITA-TMS-IBA000070,0.44,2,2,2,0,0,1,1
IITA-TMS-IBA000070,0.39,2,2,2,0,0,1,1
IITA-TMS-IBA000070,0.68,2,2,3,0,0,1,1
IITA-TMS-IBA000070,0.62,2,2,3,0,0,1,1
