"accession_name","rep_number","plant_number","stem_nu","branching_point","branchpoint1_Fs","branchpoint2_Fs","branchpoint3_Fs","branchpoint4_Fs","branchpoint1_H","section1_H","section2_H","section3_H","plant_H","plant_H21","section1_Nod","section2_Nod","section3_Nod","section4_Nod","LlobesNo","Lob1L","Lob1W","Lob2L","Lob2W","Lob3L","Lob3W","stem_D","section1_D","section2_D","section3_D","New_nod"
"TMS14F1223P0007",1,1,3,2,2,2,NA,NA,50,NA,NA,NA,95,NA,11,1,NA,NA,6,11,4,12,4.6,11.9,4.7,10.68,6.24,NA,NA,NA
"TMS14F1223P0007",1,2,2,2,2,2,NA,NA,60,105,NA,NA,115,NA,21,5,NA,NA,7,14,5,16.5,5.5,14.5,5,18.7,10.97,4.2,NA,NA
"TMS14F1223P0007",1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMS14F1223P0007",1,4,2,2,2,2,NA,NA,60,105,NA,NA,125,NA,16,4,NA,NA,7,13,5,15.5,5.5,13.5,4.8,17.6,12.07,4.31,NA,NA
"TMS14F1223P0007",1,5,4,1,2,NA,NA,NA,100,NA,NA,NA,105,NA,3,NA,NA,NA,7,13.5,4,12,4.2,13,5,8.31,3.37,NA,NA,NA
"TMS14F1194P0002",1,1,4,1,3,NA,NA,NA,135,NA,NA,NA,150,NA,7,NA,NA,NA,9,16,7,14,5,12.5,4.5,18.99,7.6,NA,NA,NA
"TMS14F1194P0002",1,2,3,1,3,NA,NA,NA,100,NA,NA,NA,140,NA,12,NA,NA,NA,7,13,5,12,4.5,12.5,4.5,18.14,7.9,NA,NA,NA
"TMS14F1194P0002",1,3,4,1,2,NA,NA,NA,115,NA,NA,NA,135,NA,4,NA,NA,NA,9,16,5.3,15.5,5.5,13,4.6,13.28,9.79,NA,NA,NA
"TMS14F1194P0002",1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,NA,7,13,4,14.5,5,14.5,2,13.48,NA,NA,NA,NA
"TMS14F1194P0002",1,5,4,1,3,NA,NA,NA,145,NA,NA,NA,170,NA,3,NA,NA,NA,7,11.5,3.5,16,5,11.5,4,18.23,6.8,NA,NA,NA
"TMS14F1195P0005",1,1,1,2,2,3,NA,NA,25,90,NA,NA,140,NA,17,10,NA,NA,9,13.5,4.3,14.5,4.5,14.5,5,20.4,16.04,10.42,NA,NA
"TMS14F1195P0005",1,2,1,3,2,4,3,NA,25,85,160,NA,160,NA,28,6,NA,NA,7,13.5,4.5,11.5,3.6,11.5,3.7,27.8,21.33,17.82,9.94,NA
"TMS14F1195P0005",1,3,2,2,3,3,NA,NA,70,150,NA,NA,160,NA,28,2,NA,NA,9,13,4.4,13.5,4.4,14,4.5,23.43,16.47,8.85,NA,NA
"TMS14F1195P0005",1,4,3,2,3,3,NA,NA,60,140,NA,NA,165,NA,24,5,NA,NA,9,14.5,5,14,4.7,14,4.3,26.03,17.13,10.6,NA,NA
"TMS14F1195P0005",1,5,1,2,3,3,NA,NA,20,50,NA,NA,140,NA,18,20,NA,NA,9,14,4,15.5,4.8,13,3.8,24.69,11.28,15.01,NA,NA
"TMS14F1303P0012",1,1,5,2,3,2,NA,NA,90,185,NA,NA,205,NA,22,3,NA,NA,7,16,4.3,15.5,5,15,4.5,19.67,12.88,5.5,NA,NA
"TMS14F1303P0012",1,2,4,2,3,2,NA,NA,95,205,NA,NA,215,NA,22,2,NA,NA,7,17,5.6,14.5,4.5,14.5,4.3,21.33,12.44,6.86,NA,NA
"TMS14F1303P0012",1,3,2,2,2,2,NA,NA,100,205,NA,NA,225,NA,24,3,NA,NA,9,18,6,22,6.5,16,5,18.83,14.09,8.27,NA,NA
"TMS14F1303P0012",1,4,3,1,2,NA,NA,NA,160,NA,NA,NA,210,NA,7,NA,NA,NA,7,17.4,5.8,17,5,16.5,5,15.71,8.7,NA,NA,NA
"TMS14F1303P0012",1,5,5,1,2,NA,NA,NA,165,NA,NA,NA,210,NA,8,NA,NA,NA,7,17,5.4,15.5,4.8,17.5,5.5,15.17,8.71,NA,NA,NA
"TMS13F2207P0001",1,1,4,1,2,NA,NA,NA,140,NA,NA,NA,185,NA,8,NA,NA,NA,7,16.5,4.3,16,4,13,3.5,15.51,8.48,NA,NA,NA
"TMS13F2207P0001",1,2,3,2,2,3,NA,NA,105,190,NA,NA,200,NA,16,1,NA,NA,7,13,4,15.5,4,15,3.9,15.61,15.01,8.46,NA,NA
