Year,Clone,Location,CB_3Min,CB_3Msev,CGM_1sev,CGM_2sev,CMO_1Min,CMO_3Min,CMO_1Msev,CMO_3Msev,HWAM,CWAM
2017,IITA-TMS-IBA000070,Ago-Owu,1,2,NA,NA,0,0,1,1,68,45
2017,IITA-TMS-IBA000070,Ago-Owu,1,2,NA,NA,0,0,1,1,59,45
2017,IITA-TMS-IBA000070,Ago-Owu,0.93,2,NA,NA,0,0,1,1,61.5,47
2017,IITA-TMS-IBA000070,Ago-Owu,0,1,NA,NA,0,0,1,1,40.5,44
2017,IITA-TMS-IBA000070,Ago-Owu,0,1,NA,NA,0,0,1,1,68,54
2017,IITA-TMS-IBA000070,Ago-Owu,0,1,NA,NA,0,0,1,1,79.5,56.5
2017,IITA-TMS-IBA000070,Ikenne,0.83,3,3,NA,0,0,1,1,67,37.5
2017,IITA-TMS-IBA000070,Ikenne,0.61,3,2,NA,0,0,1,1,72,38.5
2017,IITA-TMS-IBA000070,Ikenne,0.89,3,3,NA,0,0,1,1,71.5,36.5
2017,IITA-TMS-IBA000070,Ikenne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,IITA-TMS-IBA000070,Ikenne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,IITA-TMS-IBA000070,Ikenne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,IITA-TMS-IBA000070,Mokwa,0.26,2,NA,NA,0,0,1,1,81,47.6
2017,IITA-TMS-IBA000070,Mokwa,0,1,NA,NA,0,0,1,1,61,35
2017,IITA-TMS-IBA000070,Mokwa,0.34,2,NA,NA,0,0,1,1,85,43
2017,IITA-TMS-IBA000070,Mokwa,0.48,2,NA,NA,0,0,1,1,55,27
2017,IITA-TMS-IBA000070,Mokwa,0.45,3,NA,NA,0,0,1,1,80,56
2017,IITA-TMS-IBA000070,Mokwa,0.6,2,NA,NA,0,0,1,1,88,52
2018,IITA-TMS-IBA000070,Ago-Owu,1,2,5,2,0,0,1,2,59.5,50
2018,IITA-TMS-IBA000070,Ago-Owu,1,2,4,2,0,0,1,1,55.5,64
2018,IITA-TMS-IBA000070,Ago-Owu,1,2,4,2,0,0,1,1,55.5,55.5
2018,IITA-TMS-IBA000070,Ago-Owu,0,1,5,2,0,0,1,1,42,46.5
2018,IITA-TMS-IBA000070,Ago-Owu,0,1,4,2,0,0,1,2,56,62.5
2018,IITA-TMS-IBA000070,Ago-Owu,0,1,4,2,0,0,1,2,41,62
2018,IITA-TMS-IBA000070,Onne,0.2,3,2,NA,0,0,2,1,36,31
2018,IITA-TMS-IBA000070,Onne,0.6,3,3,NA,0,0,1,1,31,22
2018,IITA-TMS-IBA000070,Onne,0.1,2,2,NA,0,0,1,1,29,22
2018,IITA-TMS-IBA000070,Onne,0.3,3,4,NA,0,0,1,1,40,15
2018,IITA-TMS-IBA000070,Onne,0.5,2,3,NA,0,0,1,3,55,19
2018,IITA-TMS-IBA000070,Onne,0.6,3,3,NA,0.1,0,2,1,34.5,15
2018,IITA-TMS-IBA000070,Otobi,0,1,NA,NA,0,0,1,1,102.8,39.1
2018,IITA-TMS-IBA000070,Otobi,0.28,2,NA,NA,0,0,1,1,109.4,41.2
2018,IITA-TMS-IBA000070,Otobi,0.29,3,NA,NA,0,0,1,1,79.5,23.8
2018,IITA-TMS-IBA000070,Otobi,0.5,3,NA,NA,0,0,1,1,61.3,34
2018,IITA-TMS-IBA000070,Otobi,0.69,2,NA,NA,0,0,1,1,40.9,25.6
2018,IITA-TMS-IBA000070,Umudike,0,1,NA,NA,0,0,1,1,82,37.7
2018,IITA-TMS-IBA000070,Umudike,0,1,NA,NA,0,0,1,1,64.2,24.8
2018,IITA-TMS-IBA000070,Umudike,0,1,NA,NA,0,0,1,1,77,23.2
2018,IITA-TMS-IBA000070,Umudike,0.25,2,NA,NA,NA,0,NA,1,NA,NA
2018,IITA-TMS-IBA000070,Umudike,0,1,NA,NA,0,0,1,1,45.8,28
2018,IITA-TMS-IBA000070,Umudike,0,1,NA,NA,0,0,1,1,42.7,27.1
2018,IITA-TMS-IBA000070,Ikenne,1,2,2,NA,0,0,1,2,51,33
2018,IITA-TMS-IBA000070,Ikenne,1,2,2,NA,0,0,1,1,38.5,27
2018,IITA-TMS-IBA000070,Ikenne,1,2,2,NA,0,0,1,1,38,27
2018,IITA-TMS-IBA000070,Ikenne,0,1,3,2,0,0,1,1,43,31.5
2018,IITA-TMS-IBA000070,Ikenne,0,1,3,2,0,0,1,2,43,45
2018,IITA-TMS-IBA000070,Ikenne,0,1,3,2,0,0,2,2,54,39.5
2018,IITA-TMS-IBA000070,Kano,0,1,2,NA,0,0,1,1,42.5,48.5
2018,IITA-TMS-IBA000070,Kano,0.12,2,2,NA,0,0,1,1,25.4,28
2018,IITA-TMS-IBA000070,Kano,0.2,2,2,NA,0,0,1,1,45.5,45
2018,IITA-TMS-IBA000070,Kano,0,1,2,NA,0,0,1,1,16.2,25
2018,IITA-TMS-IBA000070,Kano,0,1,2,NA,0,0,1,1,15,21
2018,IITA-TMS-IBA000070,Kano,0,1,2,NA,0,1,1,3,4,4
2018,IITA-TMS-IBA000070,Mokwa,0.2,2,4,4,0,0,1,1,58.5,46.5
2018,IITA-TMS-IBA000070,Mokwa,0,1,2,4,0,0,1,1,54,62
2018,IITA-TMS-IBA000070,Mokwa,0,1,2,4,0,0,1,1,56,67
2018,IITA-TMS-IBA000070,Mokwa,0.4,2,4,NA,0,0,1,1,42,52
2018,IITA-TMS-IBA000070,Mokwa,0.1,2,4,NA,0,0,1,1,63,52
2018,IITA-TMS-IBA000070,Mokwa,0.1,2,4,NA,0,0,1,1,46.5,73
2018,IITA-TMS-IBA000070,Ibadan,0.26,2,3,2,0,0,1,1,64.8,27.9
2018,IITA-TMS-IBA000070,Ibadan,0.44,2,2,2,0,0,1,1,99,39.6
2018,IITA-TMS-IBA000070,Ibadan,0.39,2,2,2,0,0,1,1,87,37.7
2018,IITA-TMS-IBA000070,Ibadan,0.68,2,2,3,0,0,1,1,66.4,28.9
2018,IITA-TMS-IBA000070,Ibadan,0.62,2,2,3,0,0,1,1,85.7,33.2
2018,IITA-TMS-IBA000070,Ibadan,0.5,2,2,3,0,0,1,1,71.4,26.4
2017,IITA-TMS-IBA000070,Ibadan,1,2,2,NA,0,0,1,1,58.9,20
2017,IITA-TMS-IBA000070,Ibadan,1,2,4,NA,0,0,1,1,85,39.2
2017,IITA-TMS-IBA000070,Ibadan,1,2,3,NA,0,0,1,1,63,30
2019,IITA-TMS-IBA000070,Ubiaja,NA,NA,NA,NA,NA,NA,NA,NA,27.4,13.2
2019,IITA-TMS-IBA000070,Ubiaja,NA,NA,NA,NA,NA,NA,NA,NA,25.6,12.1
2019,IITA-TMS-IBA000070,Ubiaja,NA,NA,NA,NA,NA,NA,NA,NA,45.8,15.8
2019,IITA-TMS-IBA000070,Ubiaja,NA,NA,NA,NA,NA,NA,NA,NA,29.2,14.8
2019,IITA-TMS-IBA000070,Abuja,NA,NA,NA,NA,NA,NA,NA,NA,56,18.2
2019,IITA-TMS-IBA000070,Abuja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,IITA-TMS-IBA000070,Abuja,NA,NA,NA,NA,NA,NA,NA,NA,64,30.4
2019,IITA-TMS-IBA000070,Abuja,NA,NA,NA,NA,NA,NA,NA,NA,59.2,19.5
2019,IITA-TMS-IBA000070,Onne,NA,NA,NA,NA,NA,NA,NA,NA,17.4,7.8
2019,IITA-TMS-IBA000070,Onne,NA,NA,NA,NA,NA,NA,NA,NA,16.2,6.7
2019,IITA-TMS-IBA000070,Onne,NA,NA,NA,NA,NA,NA,NA,NA,11.1,8.8
2019,IITA-TMS-IBA000070,Onne,NA,NA,NA,NA,NA,NA,NA,NA,17.9,22
2019,IITA-TMS-IBA000070,Mokwa,NA,NA,NA,NA,NA,NA,NA,NA,30.7,31.4
2019,IITA-TMS-IBA000070,Mokwa,NA,NA,NA,NA,NA,NA,NA,NA,34.8,44.5
2019,IITA-TMS-IBA000070,Mokwa,NA,NA,NA,NA,NA,NA,NA,NA,46.7,43.1
2019,IITA-TMS-IBA000070,Mokwa,NA,NA,NA,NA,NA,NA,NA,NA,47.9,27.6
2019,IITA-TMS-IBA000070,Ikenne,NA,NA,NA,NA,NA,NA,NA,NA,74.4,72.2
2019,IITA-TMS-IBA000070,Ikenne,NA,NA,NA,NA,NA,NA,NA,NA,75.1,67.2
2019,IITA-TMS-IBA000070,Ikenne,NA,NA,NA,NA,NA,NA,NA,NA,106.6,73
2019,IITA-TMS-IBA000070,Ikenne,NA,NA,NA,NA,NA,NA,NA,NA,86.5,68.6
2019,IITA-TMS-IBA000070,Ibadan,NA,NA,NA,NA,NA,NA,NA,NA,70.9,33.9
2019,IITA-TMS-IBA000070,Ibadan,NA,NA,NA,NA,NA,NA,NA,NA,60.1,26.1
2019,IITA-TMS-IBA000070,Ibadan,NA,NA,NA,NA,NA,NA,NA,NA,50,34.6
2019,IITA-TMS-IBA000070,Ibadan,NA,NA,NA,NA,NA,NA,NA,NA,38.6,24.5
2019,IITA-TMS-IBA000070,Ago-Owu,NA,NA,NA,NA,NA,NA,NA,NA,93.5,39.2
2019,IITA-TMS-IBA000070,Ago-Owu,NA,NA,NA,NA,NA,NA,NA,NA,95.6,44.9
2019,IITA-TMS-IBA000070,Ago-Owu,NA,NA,NA,NA,NA,NA,NA,NA,85.9,47.5
2019,IITA-TMS-IBA000070,Ago-Owu,NA,NA,NA,NA,NA,NA,NA,NA,101.3,55.3
2019,IITA-TMS-IBA000070,Zaria,NA,NA,NA,NA,NA,NA,NA,NA,23.4,18.2
2019,IITA-TMS-IBA000070,Zaria,NA,NA,NA,NA,NA,NA,NA,NA,37.5,21.8
2020,IITA-TMS-IBA000070,Ibadan,1,2,4,NA,NA,0,NA,1,61,55.8
2020,IITA-TMS-IBA000070,Ibadan,1,2,3,NA,NA,0,NA,1,74.9,68.1
2020,IITA-TMS-IBA000070,Ibadan,1,2,3,NA,NA,0,NA,1,58.9,72.3
2020,IITA-TMS-IBA000070,Ibadan,1,2,3,NA,NA,0,NA,1,74.8,75.4
2019,IITA-TMS-IBA000070,Zaria,NA,NA,NA,NA,NA,NA,NA,NA,42.2,23.4
2019,IITA-TMS-IBA000070,Zaria,NA,NA,NA,NA,NA,NA,NA,NA,45.6,29.2
2017,IITA-TMS-IBA30572,Ago-Owu,1,2,NA,NA,0.21,0.15,4,3,42.5,62.5
2017,IITA-TMS-IBA30572,Ago-Owu,1,2,NA,NA,0.61,1,4,3,28.5,45
2017,IITA-TMS-IBA30572,Ago-Owu,0.96,2,NA,NA,0.68,0.3,4,3,51.5,61.5
2017,IITA-TMS-IBA30572,Ago-Owu,0,1,NA,NA,0.45,0.46,4,4,42,45
2017,IITA-TMS-IBA30572,Ago-Owu,0,1,NA,NA,0.41,0.45,4,4,64.5,120
2017,IITA-TMS-IBA30572,Ago-Owu,0,1,NA,NA,0.71,0.69,4,5,40,58.5
2017,IITA-TMS-IBA30572,Ikenne,0.71,3,3,NA,0.29,0.43,4,3,61.5,45
2017,IITA-TMS-IBA30572,Ikenne,0.61,3,3,NA,0.29,0.39,4,4,47.5,40
2017,IITA-TMS-IBA30572,Ikenne,0.94,3,4,NA,0.31,0.26,4,3,52.5,40
2017,IITA-TMS-IBA30572,Ikenne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,IITA-TMS-IBA30572,Ikenne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,IITA-TMS-IBA30572,Ikenne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,IITA-TMS-IBA30572,Mokwa,0.71,2,NA,NA,0,0,1,1,32.5,56.2
2017,IITA-TMS-IBA30572,Mokwa,0.15,2,NA,NA,0,0,1,1,60,63
2017,IITA-TMS-IBA30572,Mokwa,0.64,2,NA,NA,0,0,1,1,55,70
2017,IITA-TMS-IBA30572,Mokwa,0.52,3,NA,NA,0,0,1,1,67,70
2017,IITA-TMS-IBA30572,Mokwa,0.69,2,NA,NA,0,0,1,1,47,87.2
2017,IITA-TMS-IBA30572,Mokwa,0.71,3,NA,NA,0,0,1,1,63,97.6
2018,IITA-TMS-IBA30572,Ago-Owu,1,2,5,2,0.9,0.5,5,4,31.5,40
2018,IITA-TMS-IBA30572,Ago-Owu,1,2,4,2,0.8,0.4,5,3,29.5,58
2018,IITA-TMS-IBA30572,Ago-Owu,1,2,3,2,0.6,0.3,5,3,30.5,43.5
2018,IITA-TMS-IBA30572,Ago-Owu,0,1,5,2,0.9,0.7,5,3,59.5,34.5
2018,IITA-TMS-IBA30572,Ago-Owu,0,1,4,2,0.8,0.3,5,3,62,36.5
2018,IITA-TMS-IBA30572,Ago-Owu,0,1,3,2,1,0.5,5,3,52.5,35
2018,IITA-TMS-IBA30572,Onne,0.3,3,4,NA,0.3,0.5,4,4,28,20
2018,IITA-TMS-IBA30572,Onne,0.6,3,4,NA,0.3,0.4,4,3,13,8
2018,IITA-TMS-IBA30572,Onne,0.3,3,4,NA,0.2,0.1,4,3,15,11
2018,IITA-TMS-IBA30572,Onne,0.6,2,4,NA,0.7,0.9,4,4,12.5,10
2018,IITA-TMS-IBA30572,Onne,0.5,3,4,NA,0.9,0.7,4,4,12,12
2018,IITA-TMS-IBA30572,Onne,0.3,3,3,NA,0.9,1,4,4,16,18
2018,IITA-TMS-IBA30572,Otobi,0,1,NA,NA,0.31,0.66,4,4,82.5,52.8
2018,IITA-TMS-IBA30572,Otobi,0.51,3,NA,NA,0.15,0.86,5,4,72.9,50.2
2018,IITA-TMS-IBA30572,Otobi,0.64,2,NA,NA,1,0.93,4,4,81.6,46.1
2018,IITA-TMS-IBA30572,Otobi,0.5,2,NA,NA,0.89,0.89,4,4,74.1,39.8
2018,IITA-TMS-IBA30572,Otobi,0.28,2,NA,NA,0.37,0.42,4,4,63.7,23.8
2018,IITA-TMS-IBA30572,Otobi,0.67,2,NA,NA,0.67,0.92,4,4,28.7,12.1
2018,IITA-TMS-IBA30572,Umudike,0,1,NA,NA,0.31,0.2,4,3,52.5,30.4
2018,IITA-TMS-IBA30572,Umudike,0.37,2,NA,NA,0.15,0.96,5,4,40.9,24.2
2018,IITA-TMS-IBA30572,Umudike,0,1,NA,NA,1,1,4,4,38.8,16.2
2018,IITA-TMS-IBA30572,Umudike,0,1,NA,NA,0.83,1,4,4,NA,NA
2018,IITA-TMS-IBA30572,Umudike,0,1,NA,NA,0.3,0.48,4,4,36.8,22.1
2018,IITA-TMS-IBA30572,Umudike,0.2,2,NA,NA,0.97,1,4,4,35.6,22.1
2018,IITA-TMS-IBA30572,Ikenne,1,2,2,NA,0.2,0.5,3,4,43.5,40.5
2018,IITA-TMS-IBA30572,Ikenne,1,2,2,NA,0.2,0.4,3,3,28.5,24
2018,IITA-TMS-IBA30572,Ikenne,1,2,2,NA,0.3,0.3,3,3,39,32
2018,IITA-TMS-IBA30572,Ikenne,0,1,3,2,0.5,0.7,3,3,20.5,31
2018,IITA-TMS-IBA30572,Ikenne,0,1,3,2,0.2,0.3,3,3,28.5,35
2018,IITA-TMS-IBA30572,Ikenne,0,1,3,2,0.4,0.5,3,3,27,24
2018,IITA-TMS-IBA30572,Kano,0,1,2,NA,0.46,0,4,1,19.5,25
2018,IITA-TMS-IBA30572,Kano,0.23,2,3,NA,0.89,0.67,4,4,24.6,45
2018,IITA-TMS-IBA30572,Kano,0.32,2,4,NA,0.93,0.45,4,4,21.5,25
2018,IITA-TMS-IBA30572,Kano,0.25,2,2,NA,0.97,0.68,4,4,30,45
2018,IITA-TMS-IBA30572,Kano,0.43,2,NA,NA,0.95,0.57,4,3,3.5,6
2018,IITA-TMS-IBA30572,Kano,0,1,NA,NA,1,0.6,4,3,3,3
2018,IITA-TMS-IBA30572,Mokwa,0.1,2,3,5,0,0,1,3,26,29.5
2018,IITA-TMS-IBA30572,Mokwa,0,1,4,4,0,0,1,1,27.5,40
2018,IITA-TMS-IBA30572,Mokwa,0,1,2,4,0,0,1,1,34,70
2018,IITA-TMS-IBA30572,Mokwa,0.6,2,3,NA,0,0,1,1,44,37.2
2018,IITA-TMS-IBA30572,Mokwa,0.2,2,4,NA,0,0,1,1,24.5,45
2018,IITA-TMS-IBA30572,Mokwa,0.2,3,4,NA,0,0,1,1,41,63
2018,IITA-TMS-IBA30572,Ibadan,0.53,2,2,2,0.36,0.5,3,3,58.3,52.6
2018,IITA-TMS-IBA30572,Ibadan,0.38,2,2,3,0,0.2,1,3,74.5,60.2
2018,IITA-TMS-IBA30572,Ibadan,0.45,2,2,3,0,0.12,1,3,60.8,44.8
2018,IITA-TMS-IBA30572,Ibadan,0.5,2,2,2,0.3,0.21,4,2,52.7,42.8
2018,IITA-TMS-IBA30572,Ibadan,0.67,2,2,3,0.33,0.4,4,3,46.3,36.9
2018,IITA-TMS-IBA30572,Ibadan,0.74,2,2,2,0.29,0.69,3,3,43.2,45.6
2017,IITA-TMS-IBA30572,Ibadan,0.81,2,3,NA,0.22,0,3,1,60,38.2
2017,IITA-TMS-IBA30572,Ibadan,0.69,2,4,NA,0.11,0,3,1,65.8,48
2017,IITA-TMS-IBA30572,Ibadan,0.97,2,4,NA,0.11,0,3,1,52,55
2019,IITA-TMS-IBA30572,Ubiaja,NA,NA,NA,NA,NA,NA,NA,NA,13.8,10.4
2019,IITA-TMS-IBA30572,Ubiaja,NA,NA,NA,NA,NA,NA,NA,NA,13.3,9.6
2019,IITA-TMS-IBA30572,Ubiaja,NA,NA,NA,NA,NA,NA,NA,NA,17.2,12.9
2019,IITA-TMS-IBA30572,Ubiaja,NA,NA,NA,NA,NA,NA,NA,NA,17.4,12.2
2019,IITA-TMS-IBA30572,Abuja,NA,NA,NA,NA,NA,NA,NA,NA,20.7,11.8
2019,IITA-TMS-IBA30572,Abuja,NA,NA,NA,NA,NA,NA,NA,NA,37,45.3
2019,IITA-TMS-IBA30572,Abuja,NA,NA,NA,NA,NA,NA,NA,NA,23.3,16.4
2019,IITA-TMS-IBA30572,Abuja,NA,NA,NA,NA,NA,NA,NA,NA,44,24.2
2019,IITA-TMS-IBA30572,Onne,NA,NA,NA,NA,NA,NA,NA,NA,9.6,7.5
2019,IITA-TMS-IBA30572,Onne,NA,NA,NA,NA,NA,NA,NA,NA,8.1,6.9
2019,IITA-TMS-IBA30572,Onne,NA,NA,NA,NA,NA,NA,NA,NA,2.1,3.4
2019,IITA-TMS-IBA30572,Onne,NA,NA,NA,NA,NA,NA,NA,NA,7.1,4.6
2019,IITA-TMS-IBA30572,Mokwa,NA,NA,NA,NA,NA,NA,NA,NA,34.4,28.2
2019,IITA-TMS-IBA30572,Mokwa,NA,NA,NA,NA,NA,NA,NA,NA,27.2,30.7
2019,IITA-TMS-IBA30572,Mokwa,NA,NA,NA,NA,NA,NA,NA,NA,24.5,34.7
2019,IITA-TMS-IBA30572,Mokwa,NA,NA,NA,NA,NA,NA,NA,NA,30.8,25
2019,IITA-TMS-IBA30572,Ikenne,NA,NA,NA,NA,NA,NA,NA,NA,49.1,75.3
2019,IITA-TMS-IBA30572,Ikenne,NA,NA,NA,NA,NA,NA,NA,NA,54.1,73.9
2019,IITA-TMS-IBA30572,Ikenne,NA,NA,NA,NA,NA,NA,NA,NA,39.2,74.5
2019,IITA-TMS-IBA30572,Ikenne,NA,NA,NA,NA,NA,NA,NA,NA,55.2,89.8
2019,IITA-TMS-IBA30572,Ibadan,NA,NA,NA,NA,NA,NA,NA,NA,23.4,26.7
2019,IITA-TMS-IBA30572,Ibadan,NA,NA,NA,NA,NA,NA,NA,NA,26.6,20.9
2019,IITA-TMS-IBA30572,Ibadan,NA,NA,NA,NA,NA,NA,NA,NA,36.2,39.3
2019,IITA-TMS-IBA30572,Ibadan,NA,NA,NA,NA,NA,NA,NA,NA,29.8,38.4
2019,IITA-TMS-IBA30572,Ago-Owu,NA,NA,NA,NA,NA,NA,NA,NA,44.8,50.5
