Locat YEAR Latitude Longitude TMIN TMAX RHUM PAR RAIN
Abuja 2017 9.0738  7.4651 21.0535342465753 31.5108219178082 68.018602739726 98.6240547945205 1190.9
Abuja 2018 9.0738  7.4651 21.1475068493151 31.6804383561644 67.6957808219178 96.7398904109589 1015.47
Abuja 2019 9.0738  7.4651 21.4967945205479 31.877095890411 67.0620547945205 96.1840821917808 1302.21
Abuja 2020 9.0738  7.4651 20.5860655737705 31.0474590163934 70.0554098360656 99.1059836065574 1389.9
Ago-Owo 2017 7.2552  4.3225 21.9550136986301 29.2310410958904 86.3917808219178 88.1820273972603 1757.25
Ago-Owo 2018 7.2552  4.3225 21.5830410958904 28.935698630137 85.8053424657534 86.8473424657534 2210.18
Ago-Owo 2019 7.2552  4.3225 21.968301369863 28.9772876712329 86.950904109589 88.1523561643836 2526.43
Ago-Owo 2020 7.2552  4.3225 21.5143989071038 29.3052459016393 84.9698087431694 89.1248907103825 1705.74
Ibadan 2017 7.4661  3.9302 22.1519178082192 29.5236712328767 85.792904109589 87.8020547945205 1676.81
Ibadan 2018 7.4661  3.9302 21.7819452054795 29.2157808219178 85.4069863013699 89.0241643835616 1990.06
Ibadan 2019 7.4661  3.9302 22.2138356164384 29.3393150684931 86.4939178082192 89.148904109589 2257.1
Ibadan 2020 7.4661  3.9302 21.7343989071038 29.6003278688525 84.7104098360656 89.3777868852459 1568.35
Ikenne 2017 6.8728  3.7108 23.0124109589041 29.4199452054795 88.0468493150685 87.6874246575343 1638.52
Ikenne 2018 6.8728  3.7108 22.6888767123288 29.1844657534247 87.664 89.2911506849315 1935.78
Ikenne 2019 6.8728  3.7108 23.1138082191781 29.3345479452055 88.4406849315069 88.3508493150685 2284.06
Ikenne 2020 6.8728  3.7108 22.5787704918033 29.4894808743169 87.0574043715847 91.189781420765 1616.32
Kano 2017 11.698  7.704 19.0806301369863 32.0014520547945 50.7860547945205 106.082575342466 854.84
Kano 2018 11.698  7.704 19.2019452054795 32.3050684931507 50.8366849315069 107.310356164384 726.01
Kano 2019 11.698  7.704 19.4803287671233 31.9830410958904 52.9215068493151 106.048273972603 909.73
Kano 2020 11.698  7.704 18.4641803278689 30.3507923497268 60.9708743169399 105.107486338798 1407.79
Mokwa 2017 9.3097  5.0728 22.3774794520548 33.5607945205479 62.812301369863 99.6813150684931 1030.54
Mokwa 2018 9.3097  5.0728 22.0300821917808 32.7827671232877 66.4702465753425 97.4332328767123 1183.96
Mokwa 2019 9.3097  5.0728 22.1916712328767 32.7760273972603 67.6848493150685 97.4941643835616 1094.53
Mokwa 2020 9.3097  5.0728 21.5842349726776 32.9419945355191 67.1481420765027 99.1023770491803 1091.27
Onne 2017 4.7949  7.1691 23.3369315068493 29.6502739726027 88.2537260273973 78.7124931506849 3018.69
Onne 2018 4.7949  7.1691 23.0836712328767 29.558904109589 87.7052876712329 81.1270684931507 3029.42
Onne 2019 4.7949  7.1691 23.2402191780822 29.7051780821918 87.6832328767123 81.7659178082192 3286.85
Onne 2020 4.7949  7.1691 23.0322404371585 29.8693442622951 87.0320765027322 82.403306010929 3361.52
Otobi 2017 7.1528  8.2857 22.3924109589041 30.8846849315069 77.8998630136986 96.1263835616438 1162.97
Otobi 2018 7.1528  8.2857 22.1924931506849 31.1212876712329 76.0419178082192 95.7561917808219 1063.87
Otobi 2019 7.1528  8.2857 22.6641643835616 31.8012328767123 74.1086575342466 95.9262465753425 954.7
Otobi 2020 7.1528  8.2857 22.2746721311475 31.9724863387978 72.533306010929 98.7077595628415 1002.9
Ubiaja 2017 6.6702  6.3857 22.4350410958904 29.4704657534247 85.6633424657534 88.3308767123288 2026.86
Ubiaja 2018 6.6702  6.3857 22.0537534246575 29.1817808219178 84.8683561643836 87.6416712328767 2025.16
Ubiaja 2019 6.6702  6.3857 22.3800547945205 29.3096438356164 85.3815342465753 87.5435616438356 2254.4
Ubiaja 2020 6.6702  6.3857 21.9247267759563 29.467349726776 83.8203551912568 90.0992349726776 1979.19
Umudike 2017 5.4732  7.5512 22.8529589041096 29.3097534246575 86.729095890411 86.1066301369863 2118.26
Umudike 2018 5.4732  7.5512 22.5974246575342 29.2781917808219 85.8260821917808 87.7549315068493 1898.15
Umudike 2019 5.4732  7.5512 22.818301369863 29.4212602739726 86.1145479452055 87.230904109589 2019.66
Umudike 2020 5.4732  7.5512 22.5666393442623 29.6270218579235 85.1979508196721 89.2355737704918 2029.74
Zaria 2017 11.0506  7.7315 18.7199452054795 30.9460547945205 58.0759726027397 106.082575342466 1209.17
Zaria 2018 11.0506  7.7315 18.8505479452055 31.1305479452055 58.4897534246575 107.310356164384 1060.35
Zaria 2019 11.0506  7.7315 19.2436164383562 31.2208493150685 58.8631232876712 106.048273972603 1155.56
Zaria 2020 11.0506  7.7315 18.2327049180328 29.3317213114754 67.4198360655738 105.107486338798 2285.58
