Locat YEAR LatitudeM LongitudeM TMINM TMAXM RHUMM SRAD RAINM
Abuja 2017 7.343334 9.163789 23.1301369863014 32.641095890411 67.6924657534247 5119.35342465753 2417.4
Abuja 2018 7.343334 9.163789 22.6221917808219 32.4934246575342 69.3634246575343 5208.82246575342 2656.4
Abuja 2019 7.343334 9.163789 23.0712328767123 32.5698630136986 69.1257534246575 5134.34 3868.4
Abuja 2020 7.343334 9.163789 23.1422456140351 32.9556140350877 70.2734385964912 5199.61635087719 2379.9
Ago-Owo 2017 7.202178 4.166019 24.1643835616438 32.8958904109589 73.1119178082192 5388.97397260274 7925.4
Ago-Owo 2018 7.202178 4.166019 23.5857534246575 31.9698630136986 74.7632876712329 5295.34602739726 10378.2
Ago-Owo 2019 7.202178 4.166019 23.9213698630137 31.9706849315068 75.8808219178082 5438.04109589041 9925.2
Ago-Owo 2020 7.202178 4.166019 23.7539788732394 32.2620774647887 75.0864612676056 5460.26021126761 6488.16
Ibadan 2017 7.493828 3.900242 23.9482191780822 32.9778082191781 71.8947945205479 5411.67616438356 5427.5
Ibadan 2018 7.493828 3.900242 23.3994520547945 32.0419178082192 73.6182191780822 5314.28739726027 7168
Ibadan 2019 7.493828 3.900242 23.7372602739726 32.0827397260274 74.747397260274 5460.38383561644 8010
Ibadan 2020 7.493828 3.900242 23.5985915492958 32.2772887323944 74.0663556338028 5483.51281690141 5607.35
Ikenne 2017 6.849067 3.698877 24.6676712328767 32.8380821917808 75.5549315068493 5341.11561643836 7914
Ikenne 2018 6.849067 3.698877 24.1621917808219 32.0728767123288 76.9053424657534 5267.49123287671 10105.8
Ikenne 2019 6.849067 3.698877 24.4383561643836 32.0712328767123 77.9521917808219 5333.86383561644 10390.8
Ikenne 2020 6.849067 3.698877 24.2284507042254 32.3596478873239 76.5378873239437 5401.3098943662 7060.38
Kano 2017 11.981733 8.557984 21.0791780821918 34.3695890410959 44.2386301369863 5700.76575342466 1655.4
Kano 2018 11.981733 8.557984 20.7150684931507 34.0958904109589 49.8219178082192 6340.83369863014 1805.8
Kano 2019 11.981733 8.557984 21.1915068493151 34.266301369863 49.4760273972603 6417.69671232877 2384.2
Kano 2020 11.981733 8.557984 21.9017605633803 34.2226408450704 3.48683098591549 6479.1085915493 3144.86
Mokwa 2017 9.355362 5.017075 23.8893150684932 34.5076712328767 60.9254794520548 5529.05369863014 7146.6
Mokwa 2018 9.355362 5.017075 23.4386301369863 33.8082191780822 62.5706849315068 5565.33616438356 7579.2
Mokwa 2019 9.355362 5.017075 23.8128767123288 33.958904109589 63.5045205479452 5652.78684931507 7464
Mokwa 2020 9.355362 5.017075 24.0665614035088 33.9755087719298 65.530649122807 5658.11336842105 5601.42
Onne 2017 4.7203861 7.1779611 22.4567123287671 29.6619178082192 77.8265753424658 5076.22383561644 8416.2
Onne 2018 4.7203861 7.1779611 21.7 29.4312328767123 79.3045205479452 4926.94904109589 9604.8
Onne 2019 4.7203861 7.1779611 21.973698630137 29.3169863013699 79.2756164383562 4543.86383561644 9644.4
Onne 2020 4.7203861 7.1779611 21.9416901408451 30.0549647887324 79.3181514084507 4573.91436619718 5208.6
Otobi 2017 7.114381 8.103829 23.3769863013699 32.38 69.6079452054795 5145.83671232877 2339.4
Otobi 2018 7.114381 8.103829 22.7252054794521 32.0939726027397 71.0495890410959 5174.98849315068 2639.2
Otobi 2019 7.114381 8.103829 23.1421917808219 32.106301369863 71.2512328767123 5097.04657534247 3273
Otobi 2020 7.114381 8.103829 23.2002112676056 32.6326056338028 72.6497535211268 5142.32982394366 2442.84
Ubiaja 2017 6.67346659 6.344474 23.1778082191781 31.673698630137 72.2578082191781 5276.70136986301 3157.6
Ubiaja 2018 6.67346659 6.344474 22.3931506849315 31.0569863013699 73.9441095890411 5207.59945205479 3905
Ubiaja 2019 6.67346659 6.344474 22.7630136986301 31.0071232876712 74.5323287671233 5073.24684931507 3694.8
Ubiaja 2020 6.67346659 6.344474 22.7147183098592 31.6516549295775 75.2133274647887 5102.87852112676 2529.16
Umudike 2017 5.486839 7.549571 23.6358904109589 31.2060273972603 76.7667123287671 5054.73808219178 4348.2
Umudike 2018 5.486839 7.549571 22.9246575342466 30.9646575342466 77.8768493150685 4938.81671232877 5247.6
Umudike 2019 5.486839 7.549571 23.1857534246575 30.7909589041096 78.2057534246575 4602.83808219178 7071
Umudike 2020 5.486839 7.549571 23.1569718309859 31.5491197183099 78.5174647887324 4660.73419014085 3358.72
Zaria 2017 11.0855 7.7199 20.5479452054795 33.18 47.4705479452055 5572.88301369863 1649.2
Zaria 2018 11.0855 7.7199 20.0457534246575 32.7912328767123 52.421095890411 6095.97671232877 2042.8
Zaria 2019 11.0855 7.7199 20.6021917808219 33.1145205479452 52.0908219178082 6174.74931506849 2590.4
Zaria 2020 11.0855 7.7199 21.2058802816901 33.0163028169014 55.4968838028169 6220.56077464789 2409.02
