Clone,HWAMM,HWAMS,CWAMM,CWAMS,LAIXM,LAIXS,Year,Location,MeanROOT
IITA-TMS-IBA000070,12.507,9.482,4.729,5.35,5,0.7,2019,ABUJA,12227
IITA-TMS-IBA30572,6.274,5.221,5.089,10.224,3,1.6,2019,ABUJA,9141
IITA-TMS-IBA980581,13.015,11.274,10.365,6.455,4,1.2,2019,ABUJA,10073
IITA-TMS-IBA982101,11.267,7.315,7.719,7.315,3,1.1,2019,ABUJA,9484
TMEB419,9.823,14.809,4.028,5.076,3,1.6,2019,ABUJA,10314
TMS13F1021P0008,9.164,11.556,7.708,5.235,4,1,2019,ABUJA,11206
TMS13F1049P0001,13.643,7.702,8.375,3.531,1,1,2019,ABUJA,10322
TMS13F1114P0001,6.048,11.925,2.875,4.94,4,1.5,2019,ABUJA,10138
TMS13F1126P0003,5.394,5.542,1.438,4.817,3,0.8,2019,ABUJA,9611
TMS13F1182P0002,13.729,7.384,8.812,5.363,5,1.2,2019,ABUJA,11409
TMS13F1304P0003,12.525,9.687,3.74,4.39,2,0.9,2019,ABUJA,13306
TMS13F1315P0008,5.64,7.87,4.323,6.135,2,1,2019,ABUJA,9908
TMS13F1376P0018,13.9,8.575,4.562,4.787,NA,1,2019,ABUJA,12779
TMS13F1400P0001,7.969,8.65,4.448,5.016,4,1,2019,ABUJA,9936
TMS13F1461P0002,9.185,11.925,8.917,4.94,5,1.5,2019,ABUJA,11689
TMS13F2061P0005,7.215,11.241,4.333,5.17,3,0.9,2019,ABUJA,10276
TMS13F2207P0001,11.253,11.905,5.312,4.957,5,1,2019,ABUJA,12634
TMS14F1001P0004,8.073,8.616,3.396,5.039,3,1,2019,ABUJA,10561
TMS14F1013P0007,11.555,8.275,6.604,4.511,3,1,2019,ABUJA,9523
TMS14F1014P0016,9.234,8.48,4.229,4.627,2,1,2019,ABUJA,10223
TMS14F1014P0017,9.921,8.999,4.49,5.307,2,1,2019,ABUJA,10173
TMS14F1016P0006,8.17,9.194,3.771,5.489,13,1,2019,ABUJA,11269
TMS14F1019P0015,10.182,8.227,4.333,4.484,2,1,2019,ABUJA,11529
TMS14F1022P0003,5.505,8.586,2.208,4.757,8,1,2019,ABUJA,10660
TMS14F1022P0006,13.337,9.383,3.854,5.78,5,1,2019,ABUJA,12806
TMS14F1035P0004,6.833,12.033,2.792,7.674,5,1.8,2019,ABUJA,12932
TMS14F1035P0007,9.672,10.801,6,5.624,5,1.1,2019,ABUJA,10891
TMS14F1036P0007,6.417,8.377,3.583,7.936,6,1.1,2019,ABUJA,10008
TMS14F1049P0001,11.621,5.601,5.365,6.21,4,1.1,2019,ABUJA,10592
TMS14F1098P0013,11.417,10.82,7.417,5.061,3,0.9,2019,ABUJA,11532
TMS14F1120P0003,8.332,4.535,3.76,7.924,3,1.2,2019,ABUJA,10060
TMS14F1125P0010,11.21,11.034,6.5,5.116,NA,0.9,2019,ABUJA,10855
TMS14F1131P0001,8.694,7.441,4.177,5.408,3,1,2019,ABUJA,10573
TMS14F1146P0002,12.702,7.924,3.292,5.338,NA,1.1,2019,ABUJA,10645
TMS14F1159P0003,10.319,7.515,5.656,4.242,2,1.1,2019,ABUJA,9878
TMS14F1194P0002,9.096,5.726,4.646,5.604,4,0.9,2019,ABUJA,11299
TMS14F1195P0004,6.784,7.733,2.625,5.218,2,1,2019,ABUJA,10657
TMS14F1195P0005,7.058,8.622,4.469,7.391,6,1,2019,ABUJA,10320
TMS14F1196P0003,10.853,7.91,3.188,5.927,4,0.9,2019,ABUJA,10276
TMS14F1208P0007,8.929,3.874,4.479,6.263,2,0.8,2019,ABUJA,9351
TMS14F1223P0007,10.209,10.485,5.635,4.978,NA,0.9,2019,ABUJA,10218
