ENV,TMIN1,TMAX1,SRAD1,RHUM1,RAIN1,TMIN2,TMAX2,SRAD2,RHUM2,RAIN2,TMIN3,TMAX3,SRAD3,RHUM3,RAIN3,TMIN4,TMAX4,SRAD4,RHUM4,RAIN4
Abuja19,21.6044444444444,28.2233333333333,15.1088888888889,85.5633333333333,735.2,20.3588888888889,29.5955555555556,18.8833333333333,76.8611111111111,406.1,17.7211111111111,34.2477777777778,21.0766666666667,42.5911111111111,0.4,22.4389705882353,30.3889705882353,19.1514705882353,80.1110294117647,841.1
Ago17,22.0244444444444,28.6055555555556,16.3544444444444,89.0666666666667,386.3,19.7866666666667,30.1522222222222,17.2477777777778,76.1822222222222,120.5,22.9655555555556,29.5855555555556,17.09,88,261.6,22.136170212766,27.8510638297872,15.3446808510638,91.1425531914894,499
Ago18,21.6466666666667,27.3866666666667,13.5411111111111,91.4755555555556,1169.8,21.76,29.0733333333333,17.5188888888889,85.6955555555556,488.9,20.7844444444444,29.96,17.36,79.5766666666667,157.7,23.1739583333333,29.2604166666667,17.5072916666667,89.971875,509.6
Ago19,22.1177777777778,27.8566666666667,14.4322222222222,91.3644444444444,794.6,22.1433333333333,28.2755555555556,15.6388888888889,90.2833333333333,1176.2,18.8655555555556,30.6533333333333,18.8955555555556,70.57,63.3,23.2536082474227,30.0948453608247,18.0701030927835,87.2298969072165,417.4
Ibadan17,22.0877777777778,29.1222222222222,17.0811111111111,87.1177777777778,261,20.2522222222222,30.29,17.0266666666667,76.7266666666667,140.2,23.1255555555556,29.4711111111111,17.59,88.6244444444444,237.2,21.96875,27.9572916666667,14.2947916666667,90.5072916666667,1066.8
Ibadan18,22.2133333333333,29.1077777777778,17.6033333333333,87.0755555555556,633.5,20.6988888888889,30.3422222222222,17.5211111111111,77.7577777777778,140.8,23.4333333333333,29.8188888888889,18.4866666666667,88.7333333333333,386.7,22.2833333333333,28.2197916666667,14.4458333333333,90.7739583333333,861.6
Ibadan19,22.5166666666667,28.4277777777778,15.2,90.59,792.1,22.2733333333333,28.2722222222222,14.9344444444444,90.5288888888889,1035.6,19.4555555555556,30.5977777777778,18.7966666666667,73.6733333333333,59.3,22.8422535211268,30.9507042253521,18.1802816901408,82.9492957746479,156
Ikenne17,22.8966666666667,28.8188888888889,15.9722222222222,90.2866666666667,418,21.4133333333333,30.2655555555556,17.5055555555556,81.4022222222222,105.9,23.8311111111111,29.5088888888889,17.24,89.1688888888889,207.2,22.7336633663366,28.1980198019802,14.8128712871287,90.9029702970297,895.5
Ikenne18,22.4588888888889,27.9277777777778,14.33,91.0744444444444,988.2,23.0044444444444,29.3266666666667,17.1244444444444,88.1944444444444,513.1,22.2733333333333,30.2455555555556,17.1533333333333,83.2533333333333,180.2,24.1604166666667,29.6354166666667,17.2625,90.021875,466.6
Ikenne19,22.9111111111111,28.2866666666667,14.5766666666667,91.2666666666667,719.7,23.1044444444444,28.7266666666667,15.2722222222222,90.7611111111111,1008.5,20.5477777777778,30.6766666666667,19.0644444444444,77.7344444444444,50.1,24.0567567567568,29.9234234234234,17.5171171171171,89.2099099099099,519.6
Mokwa17,22.0988888888889,31.1722222222222,18.4966666666667,75.1288888888889,315.4,17.5311111111111,34.2455555555556,18.7577777777778,45.7422222222222,8.9,25.3144444444444,36.4866666666667,19.8155555555556,57.4533333333333,125.5,23.2394736842105,30.2245614035088,16.7184210526316,82.0991228070175,836.7
Mokwa18,22.7755555555556,29.2933333333333,15.6611111111111,84.7655555555556,780,21.4522222222222,31.6366666666667,19.5766666666667,72.6011111111111,195.5,18.47,34.0244444444444,19.4111111111111,48.5744444444444,3.7,25.2927083333333,35.240625,19.896875,64.871875,189.9
Mokwa19,23.1077777777778,30.1677777777778,15.9322222222222,82.2133333333333,546.6,20.8522222222222,31.4255555555556,19.0877777777778,72.6088888888889,328,18.1533333333333,34.7666666666667,20.0611111111111,46.8344444444444,9.7,24.5322916666667,34.0114583333333,20.3385416666667,71.65625,380.3
Onne18,23.4055555555556,28.9188888888889,14.1911111111111,91.0166666666667,1046,22.7855555555556,28.4866666666667,13.1877777777778,91.4555555555556,1251.6,22.7955555555556,30.3566666666667,16.5655555555556,82.9488888888889,266.1,23.9729166666667,30.6479166666667,16.2333333333333,85.8083333333333,214.4
Ubiaja19,22.4722222222222,28.34,14.21,90.3133333333333,987.2,22.5911111111111,28.4155555555556,15.6855555555556,90.3066666666667,943.5,19.1444444444444,30.3533333333333,19.0411111111111,67.7077777777778,5.1,23.636,30.396,17.883,85.978,357
Umudike18,22.4944444444444,28.1333333333333,14.7311111111111,90.6588888888889,665.3,22.7844444444444,29.46,16.9477777777778,85.6877777777778,301.6,21.8855555555556,30.1066666666667,16.8777777777778,78.5144444444445,105.5,23.7067415730337,29.7544943820225,16.3123595505618,88.3067415730337,893.2
